month,airline,delay,carrierd,extrmwd,nasd,securityd,latarrd,temperature,humidity,visibility,wind_s,hour_c
Nov,JetBlue Airways,45,8,0,0,0,32,61,38,10,15,noon
Nov,Delta Air Lines,1,0,0,0,0,0,61,38,10,15,noon
Nov,Delta Air Lines,32,22,0,0,0,0,61,38,10,15,noon
Nov,JetBlue Airways,34,20,0,0,0,0,61,35,10,11,noon
Nov,JetBlue Airways,77,61,0,0,0,0,61,35,10,11,noon
Nov,Delta Air Lines,121,94,0,0,0,0,61,35,10,11,noon
Nov,JetBlue Airways,59,48,0,0,0,0,61,35,10,11,noon
Nov,Republic Airways,16,12,0,9,0,4,61,35,10,11,noon
Nov,JetBlue Airways,20,0,0,0,0,0,61,36,10,11,noon
Nov,JetBlue Airways,15,0,0,0,0,0,61,36,10,11,noon
Nov,JetBlue Airways,1,0,0,0,0,0,61,36,10,11,noon
Nov,JetBlue Airways,5,0,0,0,0,0,61,36,10,11,noon
Nov,JetBlue Airways,76,56,0,0,0,0,61,36,10,11,noon
Nov,JetBlue Airways,8,0,0,0,0,0,61,36,10,11,noon
Nov,JetBlue Airways,19,0,0,0,0,0,61,36,10,11,noon
Nov,JetBlue Airways,29,9,0,0,0,16,61,34,10,15,afternoon
Nov,JetBlue Airways,17,17,0,3,0,0,61,34,10,15,afternoon
Nov,JetBlue Airways,18,0,0,0,0,0,61,34,10,15,afternoon
Nov,American Airlines,1,0,0,0,0,0,61,34,10,15,afternoon
Nov,JetBlue Airways,41,26,0,0,0,0,61,34,10,15,afternoon
Nov,JetBlue Airways,9,0,0,0,0,0,61,34,10,15,afternoon
Nov,Delta Air Lines,3,0,0,0,0,0,59,36,10,14,afternoon
Nov,JetBlue Airways,1,0,0,0,0,0,59,36,10,14,afternoon
Nov,American Airlines,57,38,0,0,0,0,59,36,10,14,afternoon
Nov,Delta Air Lines,8,0,0,0,0,0,59,36,10,14,afternoon
Nov,Endeavor Air,22,22,0,1,0,0,59,36,10,14,afternoon
Nov,Delta Air Lines,29,0,0,0,0,25,59,36,10,14,afternoon
Nov,American Airlines,4,0,0,0,0,0,59,36,10,14,afternoon
Nov,Alaska Airlines,35,35,0,5,0,0,57,37,10,11,afternoon
Nov,American Airlines,17,0,0,0,0,0,57,37,10,11,afternoon
Nov,Alaska Airlines,2,0,0,0,0,0,57,37,10,11,afternoon
Nov,JetBlue Airways,10,0,0,0,0,0,57,37,10,11,afternoon
Nov,American Airlines,6,0,0,0,0,0,57,37,10,11,afternoon
Nov,JetBlue Airways,4,0,0,0,0,0,56,39,10,9,afternoon
Nov,American Airlines,56,14,0,0,0,25,56,39,10,9,afternoon
Nov,JetBlue Airways,6,0,0,0,0,0,56,39,10,9,afternoon
Nov,JetBlue Airways,51,17,0,7,0,34,56,39,10,9,afternoon
Nov,JetBlue Airways,14,0,0,0,0,0,56,39,10,9,afternoon
Nov,American Airlines,65,1,0,0,0,42,54,42,10,7,night
Nov,Delta Air Lines,11,0,0,0,0,0,54,42,10,7,night
Nov,JetBlue Airways,244,232,0,0,0,0,54,42,10,7,night
Nov,American Airlines,102,95,0,0,0,0,54,42,10,7,night
Nov,Delta Air Lines,7,0,0,0,0,0,54,42,10,7,night
Nov,JetBlue Airways,18,0,0,0,0,0,54,42,10,7,night
Nov,American Airlines,103,103,0,8,0,0,54,42,10,7,night
Nov,Endeavor Air,10,0,0,0,0,0,54,42,10,9,night
Nov,Delta Air Lines,1,0,0,15,0,0,54,42,10,9,night
Nov,Delta Air Lines,3,0,0,0,0,0,54,42,10,9,night
Nov,Delta Air Lines,1,0,0,0,0,0,54,42,10,9,night
Nov,Delta Air Lines,2,0,0,0,0,0,54,42,10,9,night
Nov,JetBlue Airways,11,0,0,0,0,0,54,42,10,9,night
Nov,Delta Air Lines,41,18,0,0,0,0,54,42,10,9,night
Nov,Delta Air Lines,13,0,0,0,0,0,54,42,10,9,night
Nov,Endeavor Air,6,0,0,0,0,0,54,40,10,9,night
Nov,American Airlines,1,1,0,22,0,0,54,40,10,9,night
Nov,Alaska Airlines,2,0,0,0,0,0,54,40,10,9,night
Nov,JetBlue Airways,50,26,0,0,0,0,54,40,10,9,night
Nov,JetBlue Airways,8,0,0,0,0,0,54,40,10,9,night
Nov,JetBlue Airways,4,0,0,0,0,0,54,40,10,9,night
Nov,JetBlue Airways,8,0,0,0,0,0,54,40,10,9,night
Nov,JetBlue Airways,60,18,0,0,0,25,54,40,10,9,night
Nov,JetBlue Airways,90,40,0,0,0,38,51,46,10,8,night
Nov,JetBlue Airways,13,0,0,16,13,0,51,46,10,8,night
Nov,JetBlue Airways,23,6,0,0,0,9,51,46,10,8,night
Nov,JetBlue Airways,35,0,0,8,35,0,51,46,10,8,night
Nov,JetBlue Airways,22,6,0,0,0,12,51,46,10,8,night
Nov,JetBlue Airways,18,0,0,0,0,0,51,46,10,8,night
Nov,JetBlue Airways,69,63,0,0,0,0,51,46,10,8,night
Nov,JetBlue Airways,26,0,0,0,0,0,51,46,10,6,night
Nov,JetBlue Airways,4,0,0,0,0,0,51,46,10,6,night
Nov,JetBlue Airways,5,0,0,0,0,0,51,46,10,6,night
Nov,JetBlue Airways,29,17,0,0,0,0,52,47,10,6,night
Nov,JetBlue Airways,10,0,0,0,0,0,55,69,10,15,morning
Nov,JetBlue Airways,3,0,0,0,0,0,55,69,10,15,morning
Nov,JetBlue Airways,60,49,0,0,0,0,55,69,10,15,morning
Nov,Delta Air Lines,3,0,0,0,0,0,56,70,10,16,morning
Nov,Endeavor Air,64,58,0,0,0,0,56,70,10,16,morning
Nov,Delta Air Lines,5,0,0,0,0,0,56,70,10,16,morning
Nov,Delta Air Lines,2,0,0,0,0,0,56,70,10,16,morning
Nov,American Airlines,1,0,0,0,0,0,56,70,10,16,morning
Nov,Delta Air Lines,13,0,0,0,0,0,56,70,10,16,morning
Nov,Republic Airways,129,118,0,0,0,10,59,60,10,14,morning
Nov,JetBlue Airways,13,0,0,0,0,0,59,60,10,14,morning
Nov,Endeavor Air,79,60,0,0,0,0,59,60,10,14,morning
Nov,Delta Air Lines,41,41,0,1,0,0,59,60,10,14,morning
Nov,Delta Air Lines,73,48,0,0,0,0,59,60,10,14,morning
Nov,JetBlue Airways,12,0,0,0,0,0,59,60,10,14,morning
Nov,American Airlines,7,0,0,0,0,0,59,60,10,14,morning
Nov,Delta Air Lines,5,0,0,0,0,0,59,60,10,14,morning
Nov,JetBlue Airways,14,0,0,0,0,0,60,52,10,20,noon
Nov,Republic Airways,2,0,0,0,0,0,60,52,10,20,noon
Nov,JetBlue Airways,11,0,0,0,0,0,60,52,10,20,noon
Nov,JetBlue Airways,51,33,0,0,0,4,60,52,10,20,noon
Nov,JetBlue Airways,5,0,0,0,0,0,60,52,10,20,noon
Nov,JetBlue Airways,10,0,0,0,0,0,53,55,10,10,noon
Nov,Republic Airways,11,0,0,0,0,0,53,55,10,10,noon
Nov,Republic Airways,120,2,0,64,0,118,53,55,10,10,noon
Nov,JetBlue Airways,9,0,0,0,0,0,53,57,10,16,noon
Nov,American Airlines,30,0,0,0,0,0,53,57,10,16,noon
Nov,Republic Airways,21,0,0,4,0,21,53,57,10,16,noon
Nov,JetBlue Airways,3,0,0,0,0,0,53,52,10,16,afternoon
Nov,JetBlue Airways,12,0,0,0,0,0,53,52,10,16,afternoon
Nov,JetBlue Airways,30,10,0,0,0,7,53,52,10,16,afternoon
Nov,JetBlue Airways,26,19,0,0,0,2,53,52,10,16,afternoon
Nov,American Airlines,21,0,0,0,0,0,53,52,10,16,afternoon
Nov,JetBlue Airways,1,1,0,16,0,0,52,55,10,11,afternoon
Nov,Republic Airways,13,13,0,21,0,0,52,55,10,11,afternoon
Nov,Delta Air Lines,20,0,0,0,0,0,52,55,10,11,afternoon
Nov,JetBlue Airways,61,47,0,0,0,7,52,55,10,11,afternoon
Nov,Republic Airways,22,0,0,16,0,22,52,55,10,11,afternoon
Nov,Delta Air Lines,1,0,0,0,0,0,52,55,10,11,afternoon
Nov,Delta Air Lines,23,19,0,0,0,0,52,55,10,11,afternoon
Nov,Republic Airways,1,0,0,21,0,1,52,55,10,11,afternoon
Nov,Republic Airways,45,49,0,8,0,0,52,55,10,11,afternoon
Nov,JetBlue Airways,26,0,0,0,0,0,52,55,10,11,afternoon
Nov,Republic Airways,45,7,0,12,0,38,52,55,10,11,afternoon
Nov,JetBlue Airways,5,5,0,14,0,0,52,55,10,11,afternoon
Nov,JetBlue Airways,2,0,0,0,0,0,50,71,10,18,afternoon
Nov,American Airlines,3,0,0,0,0,0,50,71,10,18,afternoon
Nov,American Airlines,4,4,0,17,0,0,50,71,10,18,afternoon
Nov,Alaska Airlines,25,0,0,0,0,0,50,71,10,18,afternoon
