Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Endeavor Air Inc. (9E)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"9E","01/01/2022","4654","N298PQ","DTW"
"9E","01/02/2022","4778","N200PQ","IAD"
"9E","01/02/2022","4865","N909XJ","ROC"
"9E","01/02/2022","4981","N182GJ","BWI"
"9E","01/02/2022","5020","N326PQ","RIC"
"9E","01/02/2022","5053","N200PQ","PIT"
"9E","01/02/2022","5153","N678CA","SAV"
"9E","01/02/2022","5241","N678CA","CHS"
"9E","01/03/2022","4634","N326PQ","MSP"
"9E","01/03/2022","5043","N931XJ","CLE"
"9E","01/03/2022","5096","N695CA","PWM"
"9E","01/03/2022","5199","N138EV","BWI"
"9E","01/06/2022","4778","N184GJ","IAD"
"9E","01/06/2022","5023","N341PQ","BNA"
"9E","01/06/2022","5057","N314PQ","BUF"
"9E","01/06/2022","5282","N341PQ","BUF"
"9E","01/07/2022","4629","N311PQ","ORF"
"9E","01/07/2022","4635","N924XJ","MSP"
"9E","01/07/2022","4676","N538CA","DTW"
"9E","01/07/2022","4716","N348PQ","ORD"
"9E","01/07/2022","4726","N341PQ","ROC"
"9E","01/07/2022","4761","N349PQ","CHS"
"9E","01/07/2022","4801","N901XJ","IND"
"9E","01/07/2022","4858","N329PQ","DTW"
"9E","01/07/2022","4873","N296PQ","RDU"
"9E","01/07/2022","4982","N304PQ","CLE"
"9E","01/07/2022","5020","N602LR","RIC"
"9E","01/07/2022","5053","N329PQ","PIT"
"9E","01/07/2022","5057","N538CA","BUF"
"9E","01/07/2022","5113","N348PQ","RDU"
"9E","01/07/2022","5199","N329PQ","BWI"
"9E","01/07/2022","5291","N307PQ","SAV"
"9E","01/07/2022","5412","N491PX","BNA"
"9E","01/07/2022","5470","N296PQ","CLT"
"9E","01/15/2022","4795","N304PQ","BUF"
"9E","01/15/2022","5379","N319PQ","CLT"
"9E","01/16/2022","4778","N299PQ","IAD"
"9E","01/16/2022","4795","N319PQ","BUF"
"9E","01/16/2022","4829","N200PQ","RDU"
"9E","01/16/2022","4875","N296PQ","ROC"
"9E","01/16/2022","5113","N200PQ","RDU"
"9E","01/16/2022","5214","N304PQ","BWI"
"9E","01/16/2022","5460","N307PQ","IAD"
"9E","01/16/2022","5470","N349PQ","CLT"
"9E","01/17/2022","4801","N272PQ","IND"
"9E","01/20/2022","5247","N341PQ","RDU"
"9E","01/21/2022","4629","N303PQ","ORF"
"9E","01/21/2022","4634","N176PQ","ORF"
"9E","01/21/2022","5207","N922XJ","ORF"
"9E","01/21/2022","5226","N601LR","CHS"
"9E","01/28/2022","4634","N302PQ","ORF"
"9E","01/28/2022","4654","N166PQ","DTW"
"9E","01/28/2022","4778","N307PQ","IAD"
"9E","01/28/2022","4795","N336PQ","BUF"
"9E","01/28/2022","4855","N320PQ","BNA"
"9E","01/28/2022","4858","N935XJ","DTW"
"9E","01/28/2022","4875","N279PQ","ROC"
"9E","01/28/2022","5011","N927XJ","CLT"
"9E","01/28/2022","5041","N600LR","IND"
"9E","01/28/2022","5043","N678CA","CLE"
"9E","01/28/2022","5214","N927XJ","BWI"
"9E","01/28/2022","5226","N309PQ","CHS"
"9E","01/28/2022","5247","N901XJ","RDU"
