Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: American Airlines Inc. (AA)
Month(s): November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"AA","11/01/2021","0595","","MIA"
"AA","11/01/2021","1176","N944AN","DCA"
"AA","11/01/2021","1487","N314PD","PHX"
"AA","11/01/2021","1610","N863NN","MIA"
"AA","11/01/2021","2291","N847NN","CLT"
"AA","11/01/2021","2338","N975AN","CLT"
"AA","11/01/2021","2643","N960NN","CLT"
"AA","11/01/2021","2819","N962NN","ORD"
"AA","11/02/2021","1444","N561UW","CLT"
"AA","11/02/2021","2643","N968AN","CLT"
"AA","11/07/2021","2643","N953NN","CLT"
"AA","11/08/2021","1875","N923NN","FLL"
"AA","11/08/2021","2643","N987AN","CLT"
"AA","11/10/2021","0595","N726AN","MIA"
"AA","11/10/2021","2305","N104NN","SFO"
"AA","11/10/2021","2369","N969AN","PHX"
"AA","11/11/2021","2836","N991NN","LAS"
"AA","11/13/2021","0488","N872NN","CLT"
"AA","11/13/2021","0495","N995NN","CLT"
"AA","11/15/2021","1228","N303RE","MIA"
"AA","11/16/2021","1233","N9018E","STT"
"AA","11/17/2021","2643","N871NN","CLT"
"AA","11/22/2021","1479","N735AT","MIA"
"AA","11/25/2021","0495","N982NN","CLT"
"AA","11/25/2021","2813","N964NN","AUS"
"AA","11/26/2021","2369","N335PH","PHX"
"AA","11/26/2021","2813","N949NN","AUS"
"AA","11/28/2021","0495","N923AN","CLT"
"AA","11/29/2021","0076","N115NN","SFO"
"AA","11/29/2021","0495","N931NN","CLT"
"AA","12/01/2021","2643","N877NN","CLT"
"AA","12/09/2021","0302","N112AN","LAX"
"AA","12/24/2021","0495","N944NN","CLT"
"AA","12/25/2021","0688","N731AN","MIA"
"AA","12/25/2021","1553","N4032T","EGE"
"AA","12/25/2021","1610","N796AN","MIA"
"AA","12/25/2021","2643","N872NN","CLT"
"AA","12/26/2021","0493","N992AN","CLT"
"AA","12/26/2021","1444","N878NN","CLT"
"AA","12/26/2021","2813","N958NN","AUS"
"AA","12/27/2021","0493","N987AN","CLT"
"AA","12/27/2021","1553","N9015D","EGE"
"AA","12/27/2021","2369","N985NN","PHX"
"AA","12/28/2021","1875","N928NN","FLL"
"AA","12/28/2021","2643","N932NN","CLT"
"AA","12/31/2021","2369","N993NN","PHX"

 SOURCE: Bureau of Transportation Statistics
