Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: American Airlines Inc. (AA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"AA","01/01/2022","1245","N946AN","ORD"
"AA","01/01/2022","2813","N967NN","AUS"
"AA","01/02/2022","2234","N317PG","DFW"
"AA","01/02/2022","2369","N947NN","PHX"
"AA","01/02/2022","2819","N303RE","ORD"
"AA","01/03/2022","1479","N991AU","MIA"
"AA","01/04/2022","2222","N116AN","BOS"
"AA","01/05/2022","1553","N4032T","EGE"
"AA","01/06/2022","1444","N968AN","CLT"
"AA","01/06/2022","1553","N12028","EGE"
"AA","01/06/2022","1609","N115NN","BOS"
"AA","01/06/2022","2643","N890NN","CLT"
"AA","01/07/2022","0001","N101NN","LAX"
"AA","01/07/2022","0076","N117AN","SFO"
"AA","01/07/2022","0171","N112AN","LAX"
"AA","01/07/2022","0179","N103NN","SFO"
"AA","01/07/2022","0327","N851NN","CLT"
"AA","01/07/2022","0429","N105NN","SNA"
"AA","01/07/2022","0495","N874NN","CLT"
"AA","01/07/2022","0936","N8001N","STT"
"AA","01/07/2022","1228","N327SK","MIA"
"AA","01/07/2022","1330","N986NN","LAS"
"AA","01/07/2022","1444","N929NN","CLT"
"AA","01/07/2022","1487","N874NN","PHX"
"AA","01/07/2022","1610","N752AN","MIA"
"AA","01/07/2022","1637","N106NN","BOS"
"AA","01/07/2022","1875","N851NN","FLL"
"AA","01/07/2022","2222","N102NN","BOS"
"AA","01/07/2022","2234","N342RX","DFW"
"AA","01/07/2022","2268","N778AN","MIA"
"AA","01/07/2022","2369","N358PW","PHX"
"AA","01/07/2022","2643","N925AN","CLT"
"AA","01/07/2022","2813","N953NN","AUS"
"AA","01/07/2022","2819","N341RW","ORD"
"AA","01/08/2022","0830","N90024","JAC"
"AA","01/09/2022","0936","N9019F","STT"
"AA","01/09/2022","1444","N973AN","CLT"
"AA","01/09/2022","1875","N949AN","FLL"
"AA","01/09/2022","2643","N805NN","CLT"
"AA","01/11/2022","2305","N111ZM","SFO"
"AA","01/15/2022","1355","N770UW","CLT"
"AA","01/15/2022","2731","N169UW","CLT"
"AA","01/16/2022","0311","N741UW","CLT"
"AA","01/16/2022","0327","N996NN","CLT"
"AA","01/16/2022","0493","N751UW","CLT"
"AA","01/16/2022","0495","N983AN","CLT"
"AA","01/16/2022","1355","N701UW","CLT"
"AA","01/16/2022","1444","N898NN","CLT"
"AA","01/16/2022","1901","N302SS","MIA"
"AA","01/16/2022","2643","N965AN","CLT"
"AA","01/16/2022","2731","N914UY","CLT"
"AA","01/17/2022","0341","N109NN","LAX"
"AA","01/17/2022","1444","N921NN","CLT"
"AA","01/19/2022","0595","N756AM","MIA"
"AA","01/19/2022","1032","N730AN","MIA"
"AA","01/20/2022","2772","N975AN","AUS"
"AA","01/24/2022","1444","N354PT","CLT"
"AA","01/25/2022","1228","N326SJ","MIA"
"AA","01/25/2022","1875","N969AN","FLL"
"AA","01/26/2022","2305","N110AN","SFO"
"AA","01/27/2022","1228","N338ST","MIA"
"AA","01/28/2022","0076","N108NN","SFO"
"AA","01/28/2022","0185","N108NN","LAX"
"AA","01/28/2022","1609","N111ZM","BOS"
"AA","01/29/2022","0001","N102NN","LAX"
"AA","01/29/2022","0003","N103NN","LAX"
