Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Alaska Airlines Inc. (AS)
Month(s): November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"AS","11/01/2021","0007","N930VA","SEA"
"AS","11/10/2021","0221","N928VA","SEA"
"AS","11/16/2021","0007","N922VA","SEA"
"AS","11/18/2021","0007","N927VA","SEA"
"AS","11/18/2021","0342","N260AK","SAN"
"AS","11/29/2021","0216","N492AS","SEA"
"AS","12/16/2021","0393","N409AS","SAN"
"AS","12/16/2021","0657","N926VA","SFO"
"AS","12/23/2021","0769","N297AK","SFO"
"AS","12/26/2021","0657","N921VA","SFO"
"AS","12/27/2021","0007","N927VA","SEA"
"AS","12/27/2021","0479","N487AS","PDX"
"AS","12/27/2021","0627","N464AS","SFO"
"AS","12/28/2021","0221","N924VA","SEA"
"AS","12/28/2021","0479","N287AK","PDX"
"AS","12/28/2021","0629","N462AS","SFO"
"AS","12/28/2021","0769","N413AS","SFO"
"AS","12/29/2021","0007","N921VA","SEA"

 SOURCE: Bureau of Transportation Statistics
