Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Alaska Airlines Inc. (AS)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"AS","01/01/2022","0479","N478AS","PDX"
"AS","01/01/2022","0657","N927VA","SFO"
"AS","01/01/2022","0900","N431AS","SAN"
"AS","01/03/2022","0657","N921VA","SFO"
"AS","01/04/2022","0393","N586AS","SAN"
"AS","01/06/2022","0393","N214AK","SAN"
"AS","01/07/2022","0014","N471AS","SFO"
"AS","01/07/2022","0027","N928VA","SFO"
"AS","01/07/2022","0063","N495AS","SEA"
"AS","01/07/2022","0077","N478AS","SEA"
"AS","01/07/2022","0185","N525AS","SFO"
"AS","01/07/2022","0186","N481AS","PDX"
"AS","01/08/2022","0077","N487AS","SEA"
"AS","01/08/2022","0186","N478AS","PDX"
"AS","01/08/2022","0221","N930VA","SEA"
"AS","01/09/2022","0221","N921VA","SEA"
"AS","01/10/2022","0221","N923VA","SEA"
"AS","01/13/2022","0027","N927VA","SFO"
"AS","01/13/2022","0221","N930VA","SEA"
"AS","01/16/2022","0027","N925VA","SFO"
"AS","01/17/2022","0027","N925VA","SFO"
"AS","01/17/2022","0393","N562AS","SAN"
"AS","01/20/2022","0221","N930VA","SEA"
"AS","01/22/2022","0007","N925VA","SEA"
"AS","01/29/2022","0007","N926VA","SEA"
"AS","01/29/2022","0014","N457AS","SFO"
"AS","01/29/2022","0027","N929VA","SFO"
"AS","01/29/2022","0063","N224AK","SEA"
"AS","01/29/2022","0077","N562AS","SEA"
"AS","01/29/2022","0178","N594AS","SAN"
"AS","01/29/2022","0185","N403AS","SFO"
"AS","01/29/2022","0186","N214AK","PDX"
"AS","01/29/2022","0221","N930VA","SEA"
"AS","01/29/2022","0393","N518AS","SAN"
"AS","01/29/2022","0479","N268AK","PDX"
"AS","01/29/2022","0657","N928VA","SFO"
"AS","01/30/2022","0014","N517AS","SFO"
"AS","01/30/2022","0027","N845VA","SFO"
"AS","01/30/2022","0063","N294AK","SEA"
"AS","01/30/2022","0077","N495AS","SEA"

 SOURCE: Bureau of Transportation Statistics
