Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: JetBlue Airways (B6)
Month(s): November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"B6","11/06/2021","2516","N273JB","SYR"
"B6","11/12/2021","0285","N279JB","RDU"
"B6","12/11/2021","0102","N239JB","BUF"
"B6","12/11/2021","2902","N184JB","BUF"
"B6","12/22/2021","0839","N2044J","BQN"
"B6","12/23/2021","0081","N510JB","RNO"
"B6","12/23/2021","0776","N236JB","ORH"
"B6","12/24/2021","0125","N537JT","TPA"
"B6","12/24/2021","0439","N529JB","BQN"
"B6","12/24/2021","0553","N534JB","PBI"
"B6","12/24/2021","0676","N198JB","ORH"
"B6","12/24/2021","0839","N809JB","BQN"
"B6","12/24/2021","1701","N621JB","FLL"
"B6","12/24/2021","2029","N613JB","RSW"
"B6","12/25/2021","0201","N998JE","FLL"
"B6","12/25/2021","0425","N583JB","TPA"
"B6","12/25/2021","0453","N503JB","PBI"
"B6","12/25/2021","0518","N238JB","BOS"
"B6","12/25/2021","0669","N621JB","SJC"
"B6","12/25/2021","0723","N2142J","LAX"
"B6","12/25/2021","0753","N583JB","PBI"
"B6","12/25/2021","0803","N729JB","SJU"
"B6","12/25/2021","1083","N238JB","MCO"
"B6","12/25/2021","1201","N537JT","FLL"
"B6","12/25/2021","1483","N997JL","MCO"
"B6","12/25/2021","2193","N965JT","MIA"
"B6","12/26/2021","0001","N965JT","FLL"
"B6","12/26/2021","0015","N989JT","SFO"
"B6","12/26/2021","0053","N529JB","PBI"
"B6","12/26/2021","0105","N247JB","ORD"
"B6","12/26/2021","0225","N746JB","TPA"
"B6","12/26/2021","0263","N985JT","SEA"
"B6","12/26/2021","0355","N966JT","ONT"
"B6","12/26/2021","0383","N192JB","MCO"
"B6","12/26/2021","0425","N586JB","TPA"
"B6","12/26/2021","0523","N2142J","LAX"
"B6","12/26/2021","0601","N821JB","FLL"
"B6","12/26/2021","0676","N183JB","ORH"
"B6","12/26/2021","1201","N566JB","FLL"
"B6","12/26/2021","1273","N592JB","CHS"
"B6","12/26/2021","1603","N2029J","SJU"
"B6","12/26/2021","2802","N206JB","BUF"
"B6","12/27/2021","0102","N324JB","BUF"
"B6","12/27/2021","0163","N621JB","SRQ"
"B6","12/27/2021","0295","N784JB","AUS"
"B6","12/27/2021","0425","N653JB","TPA"
"B6","12/27/2021","0583","N2048J","MCO"
"B6","12/27/2021","0745","N629JB","PSE"
"B6","12/27/2021","0776","N267JB","ORH"
"B6","12/27/2021","0841","N346JB","SAV"
"B6","12/27/2021","1005","N586JB","PDX"
"B6","12/27/2021","1261","N970JB","LAS"
"B6","12/27/2021","1277","N653JB","JAX"
"B6","12/27/2021","1634","N324JB","BTV"
"B6","12/27/2021","2155","N318JB","EYW"
"B6","12/28/2021","0053","N630JB","PBI"
"B6","12/28/2021","0225","N766JB","TPA"
"B6","12/28/2021","0263","N981JT","SEA"
"B6","12/28/2021","0776","N231JB","ORH"
"B6","12/28/2021","0841","N247JB","SAV"
"B6","12/28/2021","1119","N198JB","ATL"
"B6","12/28/2021","1483","N2044J","MCO"
"B6","12/29/2021","0116","N267JB","SYR"
"B6","12/29/2021","0355","N995JL","ONT"
"B6","12/29/2021","0385","N316JB","RDU"
"B6","12/29/2021","0486","N192JB","ROC"
"B6","12/29/2021","0518","N247JB","BOS"
"B6","12/29/2021","0575","N796JB","MSY"
"B6","12/29/2021","0586","N328JB","ROC"
"B6","12/29/2021","0669","N570JB","SJC"
"B6","12/29/2021","0745","N655JB","PSE"
"B6","12/29/2021","0803","N789JB","SJU"
"B6","12/29/2021","0839","N2029J","BQN"
"B6","12/29/2021","1073","N323JB","BNA"
"B6","12/29/2021","1415","N935JB","SFO"
"B6","12/29/2021","1881","N645JB","IAH"
"B6","12/29/2021","2103","N956JT","SJU"
"B6","12/29/2021","2893","N809JB","MIA"
"B6","12/30/2021","0071","N580JB","SLC"
"B6","12/30/2021","0081","N586JB","RNO"
"B6","12/30/2021","0084","N958JB","MCO"
"B6","12/30/2021","0105","N317JB","ORD"
"B6","12/30/2021","0116","N216JB","SYR"
"B6","12/30/2021","0234","N238JB","BTV"
"B6","12/30/2021","0383","N337JB","MCO"
"B6","12/30/2021","0453","N768JB","PBI"
"B6","12/30/2021","0486","N309JB","ROC"
"B6","12/30/2021","0518","N236JB","BOS"
"B6","12/30/2021","0523","N2142J","LAX"
"B6","12/30/2021","0553","N621JB","PBI"
"B6","12/30/2021","0617","N216JB","MSP"
"B6","12/30/2021","0725","N586JB","SAT"
"B6","12/30/2021","0776","N337JB","ORH"
"B6","12/30/2021","0795","N621JB","AUS"
"B6","12/30/2021","0803","N570JB","SJU"
"B6","12/30/2021","0839","N2060J","BQN"
"B6","12/30/2021","0841","N179JB","SAV"
"B6","12/30/2021","0915","N964JT","SFO"
"B6","12/30/2021","0919","N179JB","ATL"
"B6","12/30/2021","1019","N346JB","DTW"
"B6","12/30/2021","1073","N238JB","BNA"
"B6","12/30/2021","1849","N636JB","PSP"
"B6","12/30/2021","2029","N509JB","RSW"
"B6","12/30/2021","2155","N238JB","EYW"
"B6","12/30/2021","2402","N284JB","BUF"
"B6","12/30/2021","2473","N309JB","CHS"
"B6","12/31/2021","0053","N768JB","PBI"
"B6","12/31/2021","0065","N779JB","ABQ"
"B6","12/31/2021","0089","N944JT","SAN"
"B6","12/31/2021","0295","N646JB","AUS"
"B6","12/31/2021","0341","N279JB","SAV"
"B6","12/31/2021","0383","N192JB","MCO"
"B6","12/31/2021","0385","N179JB","RDU"
"B6","12/31/2021","0486","N346JB","ROC"
