Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: JetBlue Airways (B6)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"B6","01/01/2022","0001","N998JE","FLL"
"B6","01/01/2022","0163","N231JB","SRQ"
"B6","01/01/2022","0186","N298JB","ROC"
"B6","01/01/2022","0234","N206JB","BTV"
"B6","01/01/2022","0285","N346JB","RDU"
"B6","01/01/2022","0553","N570JB","PBI"
"B6","01/01/2022","0723","N2105J","LAX"
"B6","01/01/2022","0803","N779JB","SJU"
"B6","01/01/2022","0841","N351JB","SAV"
"B6","01/01/2022","1083","N192JB","MCO"
"B6","01/01/2022","1119","N351JB","ATL"
"B6","01/01/2022","1483","N966JT","MCO"
"B6","01/01/2022","2155","N374JB","EYW"
"B6","01/01/2022","2402","N206JB","BUF"
"B6","01/02/2022","0102","N292JB","BUF"
"B6","01/02/2022","0234","N228JB","BTV"
"B6","01/02/2022","0293","N503JB","SJU"
"B6","01/02/2022","0383","N265JB","MCO"
"B6","01/02/2022","0453","N598JB","PBI"
"B6","01/02/2022","0518","N179JB","BOS"
"B6","01/02/2022","0525","N238JB","TPA"
"B6","01/02/2022","0586","N229JB","ROC"
"B6","01/02/2022","0601","N612JB","FLL"
"B6","01/02/2022","0617","N206JB","MSP"
"B6","01/02/2022","0677","N593JB","JAX"
"B6","01/02/2022","0711","N985JT","LAS"
"B6","01/02/2022","0723","N2142J","LAX"
"B6","01/02/2022","0776","N265JB","ORH"
"B6","01/02/2022","0795","N510JB","AUS"
"B6","01/02/2022","0823","N993JE","LAX"
"B6","01/02/2022","0841","N274JB","SAV"
"B6","01/02/2022","0915","N984JB","SFO"
"B6","01/02/2022","1019","N375JB","DTW"
"B6","01/02/2022","1073","N228JB","BNA"
"B6","01/02/2022","1083","N267JB","MCO"
"B6","01/02/2022","1318","N190JB","BOS"
"B6","01/02/2022","1483","N975JT","MCO"
"B6","01/02/2022","1601","N2086J","FLL"
"B6","01/02/2022","1701","N587JB","FLL"
"B6","01/02/2022","1849","N509JB","PSP"
"B6","01/02/2022","1853","N2038J","PBI"
"B6","01/02/2022","2029","N534JB","RSW"
"B6","01/02/2022","2223","N937JB","LAX"
"B6","01/02/2022","2473","N284JB","CHS"
"B6","01/02/2022","2516","N316JB","SYR"
"B6","01/02/2022","2593","N644JB","MIA"
"B6","01/02/2022","2802","N229JB","BUF"
"B6","01/03/2022","0097","N966JT","DEN"
"B6","01/03/2022","0116","N228JB","SYR"
"B6","01/03/2022","0135","N950JT","PHX"
"B6","01/03/2022","0186","N238JB","ROC"
"B6","01/03/2022","0234","N317JB","BTV"
"B6","01/03/2022","0285","N284JB","RDU"
"B6","01/03/2022","0341","N197JB","SAV"
"B6","01/03/2022","0383","N179JB","MCO"
"B6","01/03/2022","0518","N317JB","BOS"
"B6","01/03/2022","0617","N228JB","MSP"
"B6","01/03/2022","0711","N991JT","LAS"
"B6","01/03/2022","0725","N644JB","SAT"
"B6","01/03/2022","0776","N354JB","ORH"
"B6","01/03/2022","0919","N294JB","ATL"
"B6","01/03/2022","1019","N274JB","DTW"
"B6","01/03/2022","1073","N317JB","BNA"
"B6","01/03/2022","1083","N193JB","MCO"
"B6","01/03/2022","1849","N613JB","PSP"
"B6","01/03/2022","1881","N615JB","IAH"
"B6","01/03/2022","2223","N923JB","LAX"
"B6","01/03/2022","2402","N238JB","BUF"
"B6","01/04/2022","0186","N267JB","ROC"
"B6","01/04/2022","0234","N368JB","BTV"
"B6","01/04/2022","0293","N618JB","SJU"
"B6","01/04/2022","0383","N298JB","MCO"
"B6","01/04/2022","0439","N640JB","BQN"
"B6","01/04/2022","0518","N348JB","BOS"
"B6","01/04/2022","0617","N317JB","MSP"
"B6","01/04/2022","0623","N969JT","LAX"
"B6","01/04/2022","0753","N607JB","PBI"
"B6","01/04/2022","0776","N298JB","ORH"
"B6","01/04/2022","0841","N334JB","SAV"
"B6","01/04/2022","0919","N346JB","ATL"
"B6","01/04/2022","1073","N368JB","BNA"
"B6","01/04/2022","1083","N231JB","MCO"
"B6","01/04/2022","1273","N655JB","CHS"
"B6","01/04/2022","1283","N652JB","MCO"
"B6","01/04/2022","1853","N2016J","PBI"
"B6","01/04/2022","2402","N267JB","BUF"
"B6","01/05/2022","0102","N348JB","BUF"
"B6","01/06/2022","2802","N258JB","BUF"
"B6","01/06/2022","2893","N644JB","MIA"
"B6","01/07/2022","0001","N624JB","FLL"
"B6","01/07/2022","0015","N945JT","SFO"
"B6","01/07/2022","0053","N760JB","PBI"
"B6","01/07/2022","0116","N375JB","SYR"
"B6","01/07/2022","0118","N306JB","BOS"
"B6","01/07/2022","0125","N590JB","TPA"
"B6","01/07/2022","0163","N821JB","SRQ"
"B6","01/07/2022","0186","N358JB","ROC"
"B6","01/07/2022","0201","N972JT","FLL"
"B6","01/07/2022","0295","N789JB","AUS"
"B6","01/07/2022","0459","N2039J","BUR"
"B6","01/07/2022","0518","N316JB","BOS"
"B6","01/07/2022","0519","N621JB","ATL"
"B6","01/07/2022","0583","N2059J","MCO"
"B6","01/07/2022","0677","N763JB","JAX"
"B6","01/07/2022","0709","N579JB","DFW"
"B6","01/07/2022","0711","N954JB","LAS"
"B6","01/07/2022","0723","N969JT","LAX"
"B6","01/07/2022","0776","N358JB","ORH"
"B6","01/07/2022","0841","N329JB","SAV"
"B6","01/07/2022","0853","N655JB","PBI"
"B6","01/07/2022","0871","N805JB","SLC"
"B6","01/07/2022","0901","N2002J","FLL"
"B6","01/07/2022","1005","N621JB","PDX"
"B6","01/07/2022","1019","N238JB","DTW"
"B6","01/07/2022","1053","N635JB","PBI"
"B6","01/07/2022","1201","N284JB","FLL"
"B6","01/07/2022","1273","N324JB","CHS"
"B6","01/07/2022","1401","N956JT","FLL"
"B6","01/07/2022","1438","N715JB","BOS"
"B6","01/07/2022","1634","N216JB","BTV"
"B6","01/07/2022","2029","N641JB","RSW"
"B6","01/07/2022","2155","N284JB","EYW"
"B6","01/07/2022","2593","N709JB","MIA"
"B6","01/07/2022","2802","N228JB","BUF"
"B6","01/08/2022","0676","N258JB","ORH"
"B6","01/08/2022","1019","N281JB","DTW"
"B6","01/08/2022","1201","N292JB","FLL"
"B6","01/08/2022","2402","N358JB","BUF"
"B6","01/09/2022","1318","N239JB","BOS"
"B6","01/10/2022","0065","N608JB","ABQ"
"B6","01/10/2022","0097","N975JT","DEN"
"B6","01/10/2022","0809","N607JB","DFW"
"B6","01/10/2022","1005","N809JB","PDX"
"B6","01/11/2022","0425","N571JB","TPA"
"B6","01/11/2022","1003","N956JT","SJU"
"B6","01/11/2022","1005","N766JB","PDX"
"B6","01/11/2022","1849","N644JB","PSP"
"B6","01/12/2022","0425","N638JB","TPA"
"B6","01/12/2022","0459","N2029J","BUR"
"B6","01/15/2022","0355","N821JB","ONT"
"B6","01/15/2022","0725","N649JB","SAT"
"B6","01/16/2022","0102","N228JB","BUF"
"B6","01/16/2022","0234","N358JB","BTV"
"B6","01/16/2022","0303","N531JL","SJU"
"B6","01/16/2022","0486","N316JB","ROC"
"B6","01/16/2022","0553","N649JB","PBI"
"B6","01/16/2022","0585","N763JB","RDU"
"B6","01/16/2022","0617","N228JB","MSP"
"B6","01/16/2022","0629","N746JB","RSW"
"B6","01/16/2022","0676","N266JB","ORH"
"B6","01/16/2022","0918","N649JB","BOS"
"B6","01/16/2022","1005","N659JB","PDX"
"B6","01/16/2022","1083","N583JB","MCO"
"B6","01/16/2022","1277","N834JB","JAX"
"B6","01/16/2022","1295","N834JB","AUS"
"B6","01/16/2022","1318","N184JB","BOS"
"B6","01/16/2022","1415","N984JB","SFO"
"B6","01/16/2022","2103","N509JB","SJU"
"B6","01/16/2022","2516","N339JB","SYR"
"B6","01/16/2022","2893","N789JB","MIA"
"B6","01/17/2022","0116","N283JB","SYR"
"B6","01/17/2022","0186","N228JB","ROC"
"B6","01/17/2022","0459","N2027J","BUR"
"B6","01/17/2022","0702","N231JB","BUF"
"B6","01/17/2022","1019","N190JB","DTW"
"B6","01/17/2022","1602","N358JB","BUF"
"B6","01/17/2022","2029","N646JB","RSW"
"B6","01/17/2022","2802","N316JB","BUF"
"B6","01/18/2022","0723","N945JT","LAX"
"B6","01/18/2022","1003","N999JQ","SJU"
"B6","01/18/2022","1273","N354JB","CHS"
"B6","01/18/2022","2693","N651JB","MIA"
"B6","01/19/2022","0459","N2017J","BUR"
"B6","01/20/2022","0063","N645JB","SEA"
"B6","01/20/2022","0163","N806JB","SRQ"
"B6","01/20/2022","0425","N646JB","TPA"
"B6","01/20/2022","0585","N705JB","RDU"
"B6","01/20/2022","0841","N283JB","SAV"
"B6","01/20/2022","1273","N284JB","CHS"
"B6","01/20/2022","1438","N588JB","BOS"
"B6","01/20/2022","1983","N608JB","MCO"
"B6","01/20/2022","2802","N190JB","BUF"
"B6","01/21/2022","0145","N239JB","CHS"
"B6","01/21/2022","0341","N646JB","SAV"
"B6","01/21/2022","0385","N316JB","RDU"
"B6","01/21/2022","1185","N375JB","RDU"
"B6","01/21/2022","1473","N594JB","CHS"
"B6","01/21/2022","2473","N216JB","CHS"
"B6","01/21/2022","2802","N346JB","BUF"
"B6","01/22/2022","0676","N329JB","ORH"
"B6","01/22/2022","0776","N283JB","ORH"
"B6","01/22/2022","1185","N329JB","RDU"
"B6","01/24/2022","1003","N999JQ","SJU"
"B6","01/26/2022","0063","N809JB","SEA"
"B6","01/28/2022","0089","N983JT","SAN"
"B6","01/28/2022","0135","N999JQ","PHX"
"B6","01/28/2022","0263","N944JT","SEA"
"B6","01/28/2022","0355","N965JT","ONT"
"B6","01/28/2022","0486","N329JB","ROC"
"B6","01/28/2022","0586","N329JB","ROC"
"B6","01/28/2022","0617","N307JB","MSP"
"B6","01/28/2022","0676","N258JB","ORH"
"B6","01/28/2022","0711","N973JT","LAS"
"B6","01/28/2022","0809","N652JB","DFW"
"B6","01/28/2022","0919","N599JB","ATL"
"B6","01/28/2022","1003","N995JL","SJU"
"B6","01/28/2022","1119","N715JB","ATL"
"B6","01/28/2022","1318","N184JB","BOS"
"B6","01/28/2022","1418","N307JB","BOS"
"B6","01/28/2022","1719","N375JB","ATL"
"B6","01/28/2022","1723","N942JB","LAX"
"B6","01/28/2022","2193","N959JB","MIA"
"B6","01/28/2022","2402","N184JB","BUF"
"B6","01/29/2022","0001","N789JB","FLL"
"B6","01/29/2022","0053","N641JB","PBI"
"B6","01/29/2022","0063","N828JB","SEA"
"B6","01/29/2022","0065","N598JB","ABQ"
