Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Delta Airlines Inc. (DL)
Month(s): November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"DL","12/18/2021","1005","N110DU","DFW"
"DL","12/24/2021","0350","N703TW","SAN"
"DL","12/24/2021","0351","N826MH","LAX"
"DL","12/24/2021","0354","N194DN","SLC"
"DL","12/24/2021","0359","N801NW","SLC"
"DL","12/24/2021","0384","N137DU","SLC"
"DL","12/24/2021","0442","N199DN","SFO"
"DL","12/24/2021","0795","N837MH","PHX"
"DL","12/24/2021","1272","N335DN","FLL"
"DL","12/24/2021","1660","N335DN","MCO"
"DL","12/25/2021","0350","N723TW","SAN"
"DL","12/25/2021","0351","N833MH","LAX"
"DL","12/25/2021","0424","N1604R","ATL"
"DL","12/25/2021","0442","N192DN","SFO"
"DL","12/25/2021","0452","N704X","SEA"
"DL","12/25/2021","0522","N717TW","SEA"
"DL","12/25/2021","0543","N199DN","LAX"
"DL","12/25/2021","0795","N826MH","PHX"
"DL","12/25/2021","1406","N375DA","TPA"
"DL","12/26/2021","0302","N835MH","LAX"
"DL","12/26/2021","0343","N189DN","SFO"
"DL","12/26/2021","0350","N722TW","SAN"
"DL","12/26/2021","0371","N836MH","LAS"
"DL","12/26/2021","0795","N833MH","PHX"
"DL","12/26/2021","2265","N836DN","RSW"
"DL","12/27/2021","0452","N704X","SEA"
"DL","12/27/2021","0460","N838MH","SEA"
"DL","12/27/2021","0795","N834MH","PHX"
"DL","12/27/2021","1175","N108DQ","AUS"
"DL","12/28/2021","0302","N833MH","LAX"
"DL","12/29/2021","0445","N827MH","LAS"
"DL","12/29/2021","0639","N858DZ","SJU"
"DL","12/29/2021","2422","N325DN","MCO"
"DL","12/30/2021","0338","N624AG","SAN"
"DL","12/30/2021","0343","N192DN","SFO"
"DL","12/30/2021","0354","N184DN","SLC"
"DL","12/30/2021","0452","N722TW","SEA"
"DL","12/30/2021","1406","N394DA","TPA"
"DL","12/30/2021","2265","N858DZ","RSW"
"DL","12/30/2021","2422","N327DN","MCO"
"DL","12/31/2021","0430","N836MH","LAS"

 SOURCE: Bureau of Transportation Statistics
