Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Delta Airlines Inc. (DL)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"DL","01/01/2022","0343","N169DZ","SFO"
"DL","01/01/2022","0350","N717TW","SAN"
"DL","01/01/2022","0351","N840MH","LAX"
"DL","01/01/2022","0353","N828MH","LAX"
"DL","01/01/2022","0371","N827MH","LAS"
"DL","01/01/2022","0522","N624AG","SEA"
"DL","01/01/2022","0675","N113DQ","BOS"
"DL","01/01/2022","0863","N895DN","ATL"
"DL","01/01/2022","1077","N876DN","DEN"
"DL","01/01/2022","1272","N330DX","FLL"
"DL","01/01/2022","2090","N3761R","TPA"
"DL","01/01/2022","2219","N3765","MIA"
"DL","01/01/2022","2265","N824DN","RSW"
"DL","01/01/2022","2422","N111DC","MCO"
"DL","01/01/2022","2994","N108DQ","PBI"
"DL","01/02/2022","0314","N174DZ","SFO"
"DL","01/02/2022","0343","N198DN","SFO"
"DL","01/02/2022","1272","N115DN","FLL"
"DL","01/02/2022","2219","N3754A","MIA"
"DL","01/02/2022","2422","N328DN","MCO"
"DL","01/03/2022","0442","N172DZ","SFO"
"DL","01/03/2022","1036","N108DQ","DFW"
"DL","01/03/2022","2969","N101DU","MSY"
"DL","01/04/2022","0343","N193DN","SFO"
"DL","01/04/2022","0350","N704X","SAN"
"DL","01/04/2022","0522","N712TW","SEA"
"DL","01/05/2022","0797","N391DA","PBI"
"DL","01/05/2022","1104","N826MH","LAS"
"DL","01/06/2022","0439","N172DZ","LAX"
"DL","01/06/2022","1542","N3771K","MSY"
"DL","01/07/2022","0302","N833MH","LAX"
"DL","01/07/2022","0311","N196DN","SFO"
"DL","01/07/2022","0314","N188DN","SFO"
"DL","01/07/2022","0350","N624AG","SAN"
"DL","01/07/2022","0351","N188DN","LAX"
"DL","01/07/2022","0354","N696DL","SLC"
"DL","01/07/2022","0424","N398DN","ATL"
"DL","01/07/2022","0487","N1604R","SFO"
"DL","01/07/2022","0659","N333NB","AUS"
"DL","01/07/2022","0797","N3744F","PBI"
"DL","01/07/2022","0812","N330DX","MCO"
"DL","01/07/2022","0829","N813DN","PHX"
"DL","01/07/2022","0863","N863DN","ATL"
"DL","01/07/2022","1005","N129DU","DFW"
"DL","01/07/2022","1104","N825MH","LAS"
"DL","01/07/2022","1170","N712TW","DEN"
"DL","01/07/2022","1175","N342NB","AUS"
"DL","01/07/2022","1272","N351DN","FLL"
"DL","01/07/2022","1377","N375DA","MSY"
"DL","01/07/2022","1547","N694DL","STT"
"DL","01/07/2022","2127","N359DN","FLL"
"DL","01/07/2022","2219","N335DN","MIA"
"DL","01/07/2022","2433","N395DN","TPA"
"DL","01/07/2022","2469","N3742C","TPA"
"DL","01/07/2022","2638","N902DN","SEA"
"DL","01/07/2022","2776","N344DN","MIA"
"DL","01/08/2022","0445","N851NW","LAS"
"DL","01/09/2022","0445","N852NW","LAS"
"DL","01/10/2022","0343","N192DN","SFO"
"DL","01/10/2022","0675","N3771K","BOS"
"DL","01/10/2022","1427","N703TW","PDX"
"DL","01/16/2022","0350","N723TW","SAN"
"DL","01/28/2022","0353","N186DN","LAX"
"DL","01/28/2022","0655","N336NB","AUS"
"DL","01/28/2022","0667","N717TW","SLC"
"DL","01/28/2022","1291","N109DN","MCO"
"DL","01/28/2022","1627","N301DV","FLL"
"DL","01/28/2022","2243","N119DN","MIA"
"DL","01/29/2022","0302","N833MH","LAX"
"DL","01/29/2022","0311","N1603","SFO"
"DL","01/29/2022","0314","N194DN","SFO"
"DL","01/29/2022","0326","N186DN","LAX"
"DL","01/29/2022","0338","N181DN","SAN"
"DL","01/29/2022","0353","N1200K","LAX"
"DL","01/29/2022","0354","N727TW","SLC"
"DL","01/29/2022","0384","N862DN","SLC"
"DL","01/29/2022","0424","N349DX","ATL"
"DL","01/29/2022","0430","N855NW","LAS"
"DL","01/29/2022","0435","N893DN","ATL"
"DL","01/29/2022","0442","N193DN","SFO"
"DL","01/29/2022","0445","N859NW","LAS"
"DL","01/29/2022","0452","N723TW","SEA"
"DL","01/29/2022","0460","N717TW","SEA"
"DL","01/29/2022","0487","N195DN","SFO"
"DL","01/29/2022","0543","N834MH","LAX"
"DL","01/29/2022","0563","N843MH","LAX"
"DL","01/29/2022","0639","N849DN","SJU"
"DL","01/29/2022","0655","N365NB","AUS"
"DL","01/29/2022","0659","N365NB","AUS"
"DL","01/29/2022","0667","N721TW","SLC"
"DL","01/29/2022","0675","N113DQ","BOS"
"DL","01/29/2022","0795","N827MH","PHX"
"DL","01/29/2022","0806","N926DZ","SJU"
"DL","01/29/2022","0812","N355DN","MCO"
"DL","01/29/2022","0829","N868DN","PHX"
"DL","01/29/2022","0856","N375DA","ATL"
"DL","01/29/2022","0859","N174DZ","ATL"
"DL","01/29/2022","0863","N872DN","ATL"
"DL","01/29/2022","0992","N112DU","MSP"
"DL","01/29/2022","1005","N140DU","DFW"
"DL","01/29/2022","1036","N308DU","DFW"
"DL","01/29/2022","1074","N184DN","ATL"
"DL","01/29/2022","1077","N893DN","DEN"
"DL","01/29/2022","1104","N832MH","LAS"
"DL","01/29/2022","1131","N342NW","MSP"
"DL","01/29/2022","1170","N704X","DEN"
"DL","01/29/2022","1272","N342DN","FLL"
"DL","01/29/2022","1291","N390DN","MCO"
"DL","01/29/2022","1322","N387DN","FLL"
"DL","01/29/2022","1377","N3773D","MSY"
"DL","01/29/2022","1427","N704X","PDX"
"DL","01/29/2022","1547","N6715C","STT"
"DL","01/29/2022","1641","N3767","MSY"
"DL","01/29/2022","1660","N345DN","MCO"
"DL","01/29/2022","1859","N849DN","SJU"
"DL","01/29/2022","2090","N3756","TPA"
"DL","01/29/2022","2127","N129DN","FLL"
"DL","01/29/2022","2219","N382DN","MIA"
"DL","01/29/2022","2243","N119DN","MIA"
"DL","01/29/2022","2265","N387DN","RSW"
"DL","01/29/2022","2335","N125DN","MCO"
"DL","01/29/2022","2399","N3767","PBI"
"DL","01/29/2022","2433","N371DA","TPA"
"DL","01/29/2022","2469","N383DN","TPA"
"DL","01/29/2022","2638","N712TW","SEA"
"DL","01/29/2022","2724","N382DN","MIA"
"DL","01/29/2022","2776","N351DN","MIA"
"DL","01/30/2022","0302","N833MH","LAX"
"DL","01/30/2022","0311","N184DN","SFO"
"DL","01/30/2022","0313","N829MH","LAX"
"DL","01/30/2022","0315","N342DN","SLC"
"DL","01/30/2022","0326","N193DN","LAX"
"DL","01/30/2022","0350","N1603","SAN"
"DL","01/30/2022","0351","N182DN","LAX"
"DL","01/30/2022","0354","N727TW","SLC"
"DL","01/30/2022","0384","N851DN","SLC"
"DL","01/30/2022","0387","N829MH","LAS"
"DL","01/30/2022","0424","N349DX","ATL"
"DL","01/30/2022","0427","N185DN","SEA"
"DL","01/30/2022","0430","N853NW","LAS"
"DL","01/30/2022","0435","N868DN","ATL"
