Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: United Airlines Inc. (UA)
Month(s): November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"UA","11/30/2021","0515","","LAX"
"UA","12/25/2021","0517","","LAX"
"UA","12/25/2021","0521","","SFO"
"UA","12/26/2021","0515","","LAX"
"UA","12/27/2021","0517","","LAX"
"UA","12/28/2021","0523","","SFO"
"UA","12/29/2021","0521","","SFO"
"UA","12/30/2021","0515","","LAX"

 SOURCE: Bureau of Transportation Statistics
