Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: United Airlines Inc. (UA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"UA","01/01/2022","0521","","SFO"
"UA","01/03/2022","0517","","LAX"
"UA","01/04/2022","0523","","SFO"
"UA","01/20/2022","0515","N67134","LAX"
"UA","01/29/2022","0515","","LAX"
"UA","01/29/2022","0517","","LAX"
"UA","01/29/2022","0521","","SFO"
"UA","01/29/2022","0523","","SFO"
"UA","01/30/2022","0515","","LAX"
"UA","01/30/2022","0521","","SFO"

 SOURCE: Bureau of Transportation Statistics
