Detailed Statistics Cancellation  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Republic Airline (YX)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Destination Airport
"YX","01/01/2022","5607","N226JQ","ORD"
"YX","01/01/2022","5608","N231JQ","ORD"
"YX","01/01/2022","5809","N214JQ","ORD"
"YX","01/02/2022","4526","N103HQ","ORF"
"YX","01/02/2022","4537","N453YX","RIC"
"YX","01/02/2022","4681","N119HQ","BWI"
"YX","01/02/2022","5607","N244JQ","ORD"
"YX","01/02/2022","5763","N229JQ","DCA"
"YX","01/03/2022","4537","N435YX","RIC"
"YX","01/03/2022","4552","N109HQ","DCA"
"YX","01/03/2022","4602","N449YX","DCA"
"YX","01/03/2022","4649","N444YX","DCA"
"YX","01/03/2022","4655","N422YX","DCA"
"YX","01/03/2022","4666","","CLE"
"YX","01/03/2022","4671","N453YX","RIC"
"YX","01/03/2022","4678","N443YX","CLE"
"YX","01/03/2022","4681","N128HQ","BWI"
"YX","01/03/2022","4687","N428YX","BWI"
"YX","01/03/2022","4692","N104HQ","DCA"
"YX","01/03/2022","4712","N439YX","RIC"
"YX","01/03/2022","4726","N128HQ","ORF"
"YX","01/03/2022","5657","N224JQ","CLT"
"YX","01/03/2022","5665","N229JQ","DCA"
"YX","01/03/2022","5668","N212JQ","DCA"
"YX","01/03/2022","5731","N242JQ","DCA"
"YX","01/03/2022","5763","N212JQ","DCA"
"YX","01/04/2022","4636","N128HQ","DCA"
"YX","01/04/2022","4671","N409YX","RIC"
"YX","01/04/2022","5606","N212JQ","JAX"
"YX","01/05/2022","4641","N422YX","DCA"
"YX","01/05/2022","4913","N129HQ","ORF"
"YX","01/06/2022","5615","N230JQ","BOS"
"YX","01/06/2022","5665","N237JQ","DCA"
"YX","01/06/2022","5763","N227JQ","DCA"
"YX","01/07/2022","4527","N130HQ","ORF"
"YX","01/07/2022","4638","N129HQ","IND"
"YX","01/07/2022","4641","N138HQ","DCA"
"YX","01/07/2022","4666","N104HQ","CLE"
"YX","01/07/2022","4712","N452YX","RIC"
"YX","01/07/2022","4913","N138HQ","ORF"
"YX","01/07/2022","4926","N110HQ","RDU"
"YX","01/07/2022","5603","N226JQ","BOS"
"YX","01/07/2022","5606","N227JQ","JAX"
"YX","01/07/2022","5609","N236JQ","CMH"
"YX","01/07/2022","5615","N231JQ","BOS"
"YX","01/07/2022","5619","N203JQ","RDU"
"YX","01/07/2022","5630","N228JQ","CLT"
