Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Endeavor Air Inc. (9E)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","01/01/2022","4634","N331PQ","MSP","12:20","12:13","177","194","-7","12:26","13","0","0","0","0","0"
"9E","01/01/2022","4654","N298PQ","DTW","15:00","00:00","132","0","0","00:00","0","0","0","0","0","0"
"9E","01/01/2022","4676","N932XJ","DTW","07:15","07:55","130","134","40","08:22","27","40","0","4","0","0"
"9E","01/01/2022","4761","N307PQ","CHS","08:20","08:22","142","135","2","08:43","21","0","0","0","0","0"
"9E","01/01/2022","4795","N326PQ","BUF","21:50","21:45","107","86","-5","22:08","23","0","0","0","0","0"
"9E","01/01/2022","4855","N292PQ","BNA","18:15","18:14","162","158","-1","18:26","12","0","0","0","0","0"
"9E","01/01/2022","4872","N309PQ","RIC","14:55","14:51","96","78","-4","15:02","11","0","0","0","0","0"
"9E","01/01/2022","4975","N200PQ","ROC","16:30","16:27","95","79","-3","16:50","23","0","0","0","0","0"
"9E","01/01/2022","4997","N176PQ","CLE","14:10","14:08","114","113","-2","14:22","14","0","0","0","0","0"
"9E","01/01/2022","5041","N298PQ","IND","19:59","21:08","155","143","69","21:26","18","57","0","0","0","0"
"9E","01/01/2022","5043","N678CA","CLE","18:55","18:50","123","119","-5","19:18","28","0","0","0","0","0"
"9E","01/01/2022","5074","N307PQ","DTW","17:55","06:30","132","186","755","06:56","26","0","755","54","0","0"
"9E","01/01/2022","5078","N908XJ","RDU","08:20","08:14","113","97","-6","08:31","17","0","0","0","0","0"
"9E","01/01/2022","5096","N176PQ","PWM","21:20","21:17","84","84","-3","21:54","37","0","0","0","0","0"
