Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: American Airlines Inc. (AA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","01/01/2022","0001","N106NN","LAX","07:00","06:57","389","375","-3","07:16","19","0","0","0","0","0"
"AA","01/01/2022","0076","N110AN","SFO","07:00","06:58","405","407","-2","07:12","14","0","0","0","0","0"
"AA","01/01/2022","0117","N101NN","LAX","19:00","18:54","392","373","-6","19:10","16","0","0","0","0","0"
"AA","01/01/2022","0179","N117AN","SFO","09:00","08:56","409","409","-4","09:18","22","0","0","0","0","0"
"AA","01/01/2022","0255","N111ZM","LAX","10:00","10:07","388","394","7","10:22","15","0","0","0","0","0"
"AA","01/01/2022","0302","N112AN","LAX","17:00","17:02","390","380","2","17:24","22","0","0","0","0","0"
"AA","01/01/2022","0331","N116AN","LAX","12:00","11:54","389","377","-6","12:10","16","0","0","0","0","0"
"AA","01/01/2022","0429","N108NN","SNA","16:00","16:13","383","394","13","16:31","18","0","0","11","0","13"
"AA","01/01/2022","0493","N665AW","CLT","12:00","11:57","125","115","-3","12:13","16","0","0","0","0","0"
"AA","01/01/2022","0595","N718AN","MIA","11:10","11:06","186","187","-4","11:42","36","0","0","0","0","0"
"AA","01/01/2022","0654","N9016","JAC","10:07","10:12","314","325","5","10:33","21","5","0","11","0","0"
"AA","01/01/2022","0688","N721AN","MIA","13:30","13:25","188","171","-5","13:43","18","0","0","0","0","0"
"AA","01/01/2022","0936","N9006","STT","09:25","09:14","234","201","-11","09:29","15","0","0","0","0","0"
"AA","01/01/2022","1032","N771AN","MIA","09:00","08:56","193","176","-4","09:15","19","0","0","0","0","0"
"AA","01/01/2022","1074","N921NN","LAS","20:30","20:25","361","352","-5","20:41","16","0","0","0","0","0"
"AA","01/01/2022","1174","N833NN","MIA","18:20","18:17","193","179","-3","18:33","16","0","0","0","0","0"
"AA","01/01/2022","1245","N946AN","ORD","19:55","00:00","173","0","0","00:00","0","0","0","0","0","0"
"AA","01/01/2022","1274","N949NN","DFW","17:55","17:56","247","265","1","18:17","21","0","0","19","0","0"
"AA","01/01/2022","1444","N881NN","CLT","08:05","09:23","146","129","78","09:48","25","61","0","0","0","0"
"AA","01/01/2022","1479","N767AJ","MIA","14:59","14:58","198","180","-1","15:22","24","0","0","0","0","0"
"AA","01/01/2022","1553","N12028","EGE","11:00","10:54","292","282","-6","11:08","14","0","0","0","0","0"
"AA","01/01/2022","1610","N795AN","MIA","07:59","07:58","194","187","-1","08:20","22","0","0","0","0","0"
"AA","01/01/2022","1693","N9029F","MIA","21:27","21:27","192","171","0","21:42","15","0","0","0","0","0"
"AA","01/01/2022","1901","N768AA","MIA","16:25","16:25","190","181","0","16:40","15","0","0","0","0","0"
"AA","01/01/2022","2234","N985NN","DFW","08:05","09:50","263","245","105","10:04","14","87","0","0","0","0"
"AA","01/01/2022","2268","N906AA","MIA","06:30","06:27","189","177","-3","06:49","22","0","0","0","0","0"
"AA","01/01/2022","2305","N109NN","SFO","17:30","17:28","406","387","-2","17:45","17","0","0","0","0","0"
"AA","01/01/2022","2369","N834NN","PHX","06:30","06:30","360","360","0","06:48","18","0","0","0","0","0"
"AA","01/01/2022","2643","N969NN","CLT","06:00","06:35","128","117","35","06:54","19","24","0","0","0","0"
"AA","01/01/2022","2731","N110AN","CLT","17:27","09:37","124","133","970","09:53","16","769","0","9","0","201"
"AA","01/01/2022","2772","N317PG","AUS","18:29","18:24","257","261","-5","18:46","22","0","0","0","0","0"
"AA","01/01/2022","2813","N967NN","AUS","08:00","00:00","261","0","0","00:00","0","0","0","0","0","0"
"AA","01/01/2022","2819","N321RL","ORD","07:50","07:46","172","184","-4","08:07","21","0","0","0","0","0"
"AA","01/01/2022","2829","N339PL","PHX","13:24","16:52","352","367","208","17:17","25","208","0","15","0","0"
"AA","01/02/2022","0001","N112AN","LAX","08:00","08:14","393","380","14","08:34","20","0","0","0","0","0"
"AA","01/02/2022","0003","N103NN","LAX","10:30","10:25","388","376","-5","10:47","22","0","0","0","0","0"
"AA","01/02/2022","0076","N108NN","SFO","07:00","06:54","405","390","-6","07:13","19","0","0","0","0","0"
"AA","01/02/2022","0117","N107NN","LAX","19:29","19:26","394","380","-3","19:49","23","0","0","0","0","0"
"AA","01/02/2022","0171","N113AN","LAX","06:00","06:04","390","393","4","06:21","17","0","0","0","0","0"
"AA","01/02/2022","0177","N113AN","SFO","20:00","19:56","405","427","-4","20:36","40","0","0","18","0","0"
"AA","01/02/2022","0179","N109NN","SFO","08:55","08:52","409","401","-3","09:20","28","0","0","0","0","0"
"AA","01/02/2022","0255","N104NN","LAX","09:30","09:31","391","381","1","09:55","24","0","0","0","0","0"
"AA","01/02/2022","0300","N110AN","LAX","21:29","21:24","391","375","-5","21:42","18","0","0","0","0","0"
"AA","01/02/2022","0302","N105NN","LAX","17:29","18:02","390","377","33","18:24","22","10","0","0","0","10"
"AA","01/02/2022","0306","N101NN","LAX","16:30","16:32","389","364","2","16:49","17","0","0","0","0","0"
"AA","01/02/2022","0311","N996NN","CLT","14:53","14:47","134","148","-6","15:10","23","0","0","0","0","0"
"AA","01/02/2022","0341","N102NN","LAX","15:30","15:25","388","372","-5","15:46","21","0","0","0","0","0"
"AA","01/02/2022","0429","N117AN","SNA","16:20","16:44","383","369","24","17:04","20","0","0","0","0","0"
"AA","01/02/2022","0493","N931NN","CLT","12:00","12:13","125","135","13","12:29","16","0","0","10","0","13"
"AA","01/02/2022","0495","N816NN","CLT","09:29","09:23","130","138","-6","09:48","25","0","0","0","0","0"
