Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Alaska Airlines Inc. (AS)
Month(s): November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","11/01/2021","0007","N930VA","SEA","07:30","00:00","383","0","0","00:00","0","0","0","0","0","0"
"AS","11/01/2021","0221","N922VA","SEA","16:55","17:30","396","401","35","17:53","23","35","0","5","0","0"
"AS","11/01/2021","0399","N523AS","SAN","16:45","16:47","365","362","2","17:08","21","0","0","0","0","0"
"AS","11/01/2021","0479","N215AK","PDX","20:10","20:12","373","370","2","20:34","22","0","0","0","0","0"
"AS","11/01/2021","0657","N928VA","SFO","18:40","18:32","398","385","-8","18:58","26","0","0","0","0","0"
"AS","11/01/2021","1471","N483AS","SEA","09:30","09:28","383","380","-2","09:55","27","0","0","0","0","0"
"AS","11/01/2021","1472","N253AK","SEA","11:30","11:27","380","381","-3","11:52","25","0","0","0","0","0"
"AS","11/02/2021","0007","N921VA","SEA","07:30","07:22","383","386","-8","08:05","43","0","0","0","0","0"
"AS","11/02/2021","0221","N927VA","SEA","16:55","17:20","396","358","25","17:39","19","0","0","0","0","0"
"AS","11/02/2021","0657","N929VA","SFO","18:40","18:41","398","362","1","19:00","19","0","0","0","0","0"
"AS","11/02/2021","1472","N238AK","SEA","11:30","11:26","380","367","-4","11:55","29","0","0","0","0","0"
"AS","11/03/2021","0007","N925VA","SEA","07:30","07:33","383","377","3","08:06","33","0","0","0","0","0"
"AS","11/03/2021","0221","N929VA","SEA","16:55","17:21","396","373","26","18:02","41","0","0","0","0","0"
"AS","11/03/2021","0657","N921VA","SFO","18:40","18:45","398","372","5","19:10","25","0","0","0","0","0"
"AS","11/03/2021","1472","N461AS","SEA","11:30","11:24","380","354","-6","11:44","20","0","0","0","0","0"
"AS","11/04/2021","0007","N927VA","SEA","07:30","07:22","380","380","-8","07:48","26","0","0","0","0","0"
"AS","11/04/2021","0221","N921VA","SEA","16:55","17:07","394","380","12","17:37","30","0","0","0","0","0"
"AS","11/04/2021","0342","N565AS","SAN","16:50","16:45","365","342","-5","17:08","23","0","0","0","0","0"
"AS","11/04/2021","0429","N453AS","SEA","09:30","09:23","383","373","-7","10:02","39","0","0","0","0","0"
"AS","11/04/2021","0458","N579AS","SFO","11:30","11:29","393","381","-1","12:05","36","0","0","0","0","0"
"AS","11/04/2021","0459","N287AK","PDX","07:30","07:33","373","366","3","08:00","27","0","0","0","0","0"
"AS","11/04/2021","0479","N520AS","PDX","20:05","19:51","373","371","-14","20:25","34","0","0","0","0","0"
"AS","11/04/2021","0657","N929VA","SFO","18:35","18:40","398","370","5","19:04","24","0","0","0","0","0"
"AS","11/05/2021","0007","N930VA","SEA","07:30","07:25","380","367","-5","07:48","23","0","0","0","0","0"
"AS","11/05/2021","0221","N928VA","SEA","16:55","17:04","394","368","9","17:26","22","0","0","0","0","0"
"AS","11/05/2021","0342","N264AK","SAN","16:50","16:42","365","355","-8","17:13","31","0","0","0","0","0"
"AS","11/05/2021","0353","N461AS","SFO","09:00","08:54","393","382","-6","09:23","29","0","0","0","0","0"
"AS","11/05/2021","0354","N282AK","SFO","13:00","12:55","393","386","-5","13:20","25","0","0","0","0","0"
"AS","11/05/2021","0393","N272AK","SAN","09:30","09:34","365","348","4","10:04","30","0","0","0","0","0"
"AS","11/05/2021","0427","N569AS","SEA","11:30","11:27","383","374","-3","11:54","27","0","0","0","0","0"
"AS","11/05/2021","0429","N214AK","SEA","09:30","09:19","383","383","-11","09:53","34","0","0","0","0","0"
"AS","11/05/2021","0458","N292AK","SFO","11:30","11:50","393","369","20","12:08","18","0","0","0","0","0"
"AS","11/05/2021","0459","N494AS","PDX","07:30","07:49","373","378","19","08:27","38","19","0","5","0","0"
"AS","11/05/2021","0479","N579AS","PDX","20:05","19:53","373","389","-12","20:20","27","0","0","0","0","0"
"AS","11/05/2021","0657","N923VA","SFO","18:35","18:23","398","385","-12","18:51","28","0","0","0","0","0"
"AS","11/06/2021","0007","N922VA","SEA","07:30","07:25","380","400","-5","07:55","30","0","0","15","0","0"
"AS","11/06/2021","0221","N926VA","SEA","16:55","16:40","394","400","-15","17:19","39","0","0","0","0","0"
"AS","11/06/2021","0342","N560AS","SAN","16:50","16:47","365","352","-3","17:14","27","0","0","0","0","0"
"AS","11/06/2021","0353","N492AS","SFO","09:00","09:17","393","374","17","09:37","20","0","0","0","0","0"
"AS","11/06/2021","0354","N461AS","SFO","13:00","12:43","393","394","-17","13:18","35","0","0","0","0","0"
"AS","11/06/2021","0393","N407AS","SAN","09:30","09:30","365","349","0","09:54","24","0","0","0","0","0"
"AS","11/06/2021","0427","N263AK","SEA","11:30","11:28","383","380","-2","11:47","19","0","0","0","0","0"
"AS","11/06/2021","0429","N468AS","SEA","09:30","09:19","383","359","-11","09:41","22","0","0","0","0","0"
"AS","11/06/2021","0458","N581AS","SFO","11:30","11:22","393","385","-8","11:46","24","0","0","0","0","0"
"AS","11/06/2021","0459","N214AK","PDX","07:30","07:21","373","380","-9","07:43","22","0","0","0","0","0"
"AS","11/06/2021","0479","N524AS","PDX","20:05","19:53","373","389","-12","20:22","29","0","0","0","0","0"
"AS","11/06/2021","0657","N930VA","SFO","18:35","18:26","398","384","-9","18:52","26","0","0","0","0","0"
"AS","11/07/2021","0007","N925VA","SEA","07:30","07:29","380","399","-1","08:06","37","0","0","18","0","0"
"AS","11/07/2021","0221","N930VA","SEA","16:55","17:00","394","414","5","17:53","53","0","0","25","0","0"
