Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: Alaska Airlines Inc. (AS)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","01/01/2022","0007","N930VA","SEA","07:30","07:39","389","384","9","08:00","21","0","0","0","0","0"
"AS","01/01/2022","0014","N275AK","SEA","09:30","09:22","385","380","-8","09:40","18","0","0","0","0","0"
"AS","01/01/2022","0035","N448AS","PDX","20:05","20:17","398","386","12","20:36","19","0","0","0","0","0"
"AS","01/01/2022","0221","N926VA","SEA","16:40","20:57","393","378","257","21:16","19","0","13","0","0","229"
"AS","01/01/2022","0393","N282AK","SAN","16:35","17:04","372","389","29","17:20","16","0","0","17","0","29"
"AS","01/01/2022","0479","N478AS","PDX","07:30","00:00","388","0","0","00:00","0","0","0","0","0","0"
"AS","01/01/2022","0627","N268AK","SFO","09:00","09:04","405","407","4","09:22","18","0","0","0","0","0"
"AS","01/01/2022","0629","N423AS","SFO","11:30","11:28","408","397","-2","11:50","22","0","0","0","0","0"
"AS","01/01/2022","0657","N927VA","SFO","18:35","00:00","418","0","0","00:00","0","0","0","0","0","0"
"AS","01/01/2022","0769","N434AS","SFO","13:00","13:00","408","377","0","13:16","16","0","0","0","0","0"
"AS","01/01/2022","0900","N431AS","SAN","09:30","00:00","375","0","0","00:00","0","0","0","0","0","0"
"AS","01/01/2022","1063","N287AK","SEA","11:30","11:22","385","384","-8","11:44","22","0","0","0","0","0"
"AS","01/02/2022","0007","N923VA","SEA","07:30","08:31","389","423","61","09:11","40","61","0","34","0","0"
"AS","01/02/2022","0035","N238AK","PDX","20:05","20:16","398","0","11","20:59","43","0","0","0","0","0"
"AS","01/02/2022","0221","N928VA","SEA","16:40","18:59","393","427","139","19:36","37","18","0","34","0","121"
"AS","01/02/2022","0393","N282AK","SAN","16:35","17:03","372","375","28","17:33","30","28","0","3","0","0"
"AS","01/02/2022","0479","N268AK","PDX","07:30","07:24","388","397","-6","07:44","20","0","0","0","0","0"
"AS","01/02/2022","0629","N273AK","SFO","11:30","12:26","408","395","56","12:55","29","43","0","0","0","0"
