Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: United Airlines Inc. (UA)
Month(s): November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","11/01/2021","0515","N12114","LAX","08:25","08:21","397","399","-4","08:55","34","0","0","0","0","0"
"UA","11/01/2021","0517","N19117","LAX","18:20","18:16","397","383","-4","18:50","34","0","0","0","0","0"
"UA","11/01/2021","0521","N13110","SFO","08:00","08:00","406","411","0","08:24","24","0","0","0","0","0"
"UA","11/01/2021","0523","N17104","SFO","16:55","16:47","406","406","-8","17:11","24","0","0","0","0","0"
"UA","11/02/2021","0515","N12114","LAX","08:25","08:18","397","383","-7","08:42","24","0","0","0","0","0"
"UA","11/02/2021","0517","N57111","LAX","18:20","18:19","397","412","-1","19:42","83","0","0","0","0","0"
"UA","11/02/2021","0521","N13110","SFO","08:00","07:50","406","380","-10","08:09","19","0","0","0","0","0"
"UA","11/02/2021","0523","N19117","SFO","16:55","16:46","406","382","-9","17:12","26","0","0","0","0","0"
"UA","11/03/2021","0515","N12114","LAX","08:25","08:15","397","355","-10","08:41","26","0","0","0","0","0"
"UA","11/03/2021","0517","N41135","LAX","18:20","18:19","397","357","-1","18:39","20","0","0","0","0","0"
"UA","11/03/2021","0521","N17139","SFO","08:00","07:56","406","385","-4","08:18","22","0","0","0","0","0"
"UA","11/03/2021","0523","N17105","SFO","16:55","16:46","406","373","-9","17:05","19","0","0","0","0","0"
"UA","11/04/2021","0515","N19117","LAX","08:25","08:16","397","353","-9","08:35","19","0","0","0","0","0"
"UA","11/04/2021","0517","N57111","LAX","18:20","18:14","397","346","-6","18:34","20","0","0","0","0","0"
"UA","11/04/2021","0521","N12114","SFO","08:00","07:55","406","376","-5","08:15","20","0","0","0","0","0"
"UA","11/04/2021","0523","N17104","SFO","16:55","16:43","406","376","-12","17:05","22","0","0","0","0","0"
"UA","11/05/2021","0515","N19117","LAX","08:25","08:18","397","353","-7","08:40","22","0","0","0","0","0"
"UA","11/05/2021","0517","N41135","LAX","18:20","18:17","397","353","-3","18:38","21","0","0","0","0","0"
"UA","11/05/2021","0521","N17139","SFO","08:00","07:52","406","378","-8","08:13","21","0","0","0","0","0"
"UA","11/05/2021","0523","N34131","SFO","16:55","16:54","406","385","-1","17:18","24","0","0","0","0","0"
"UA","11/06/2021","0515","N17104","LAX","08:25","08:19","397","357","-6","08:39","20","0","0","0","0","0"
"UA","11/06/2021","0517","N664UA","LAX","18:20","18:35","397","355","15","19:01","26","0","0","0","0","0"
"UA","11/06/2021","0521","N19117","SFO","08:00","07:54","406","382","-6","08:17","23","0","0","0","0","0"
"UA","11/06/2021","0523","N12114","SFO","16:55","16:51","406","388","-4","17:12","21","0","0","0","0","0"
"UA","11/07/2021","0515","N13110","LAX","08:25","08:18","397","360","-7","08:41","23","0","0","0","0","0"
"UA","11/07/2021","0517","N19117","LAX","18:20","18:10","397","374","-10","18:34","24","0","0","0","0","0"
"UA","11/07/2021","0521","N17104","SFO","08:00","07:55","406","400","-5","08:25","30","0","0","0","0","0"
"UA","11/07/2021","0523","N19136","SFO","16:55","16:55","406","412","0","17:42","47","0","0","0","0","0"
"UA","11/08/2021","0515","N17104","LAX","08:25","08:21","397","385","-4","08:56","35","0","0","0","0","0"
"UA","11/08/2021","0517","N14115","LAX","18:20","18:24","397","371","4","18:46","22","0","0","0","0","0"
"UA","11/08/2021","0521","N13110","SFO","08:00","08:00","406","405","0","08:32","32","0","0","0","0","0"
"UA","11/08/2021","0523","N664UA","SFO","16:55","16:43","406","408","-12","17:18","35","0","0","0","0","0"
"UA","11/09/2021","0515","N57111","LAX","08:25","08:21","397","370","-4","08:40","19","0","0","0","0","0"
"UA","11/09/2021","0517","N57864","LAX","18:20","18:40","397","353","20","19:05","25","0","0","0","0","0"
"UA","11/09/2021","0521","N17104","SFO","08:00","07:50","406","406","-10","08:09","19","0","0","0","0","0"
"UA","11/09/2021","0523","N19117","SFO","16:55","16:47","406","394","-8","17:14","27","0","0","0","0","0"
"UA","11/10/2021","0515","N57111","LAX","08:25","09:07","397","381","42","09:35","28","26","0","0","0","0"
"UA","11/10/2021","0517","N12114","LAX","18:20","18:34","397","387","14","19:07","33","0","0","0","0","0"
"UA","11/10/2021","0521","N14107","SFO","08:00","07:53","406","372","-7","08:14","21","0","0","0","0","0"
"UA","11/10/2021","0523","N14115","SFO","16:55","16:48","406","384","-7","17:09","21","0","0","0","0","0"
"UA","11/11/2021","0515","N57111","LAX","08:25","08:23","397","372","-2","08:47","24","0","0","0","0","0"
"UA","11/11/2021","0517","N19117","LAX","18:20","18:14","397","364","-6","18:43","29","0","0","0","0","0"
"UA","11/11/2021","0521","N14102","SFO","08:00","07:53","406","392","-7","08:15","22","0","0","0","0","0"
"UA","11/11/2021","0523","N17122","SFO","16:55","16:46","406","371","-9","17:08","22","0","0","0","0","0"
"UA","11/12/2021","0515","N14107","LAX","08:25","08:20","397","366","-5","09:01","41","0","0","0","0","0"
