Detailed Statistics Departures  
Origin Airport: New York, NY: John F. Kennedy International (JFK)
Airline: United Airlines Inc. (UA)
Month(s): January
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","01/01/2022","0515","N12114","LAX","08:30","08:25","390","368","-5","08:42","17","0","0","0","0","0"
"UA","01/01/2022","0517","N19136","LAX","18:30","21:23","390","342","173","21:38","15","12","0","0","0","113"
"UA","01/01/2022","0521","","SFO","08:00","00:00","392","0","0","00:00","0","0","0","0","0","0"
"UA","01/02/2022","0515","N12114","LAX","08:30","08:30","390","375","0","08:55","25","0","0","0","0","0"
"UA","01/02/2022","0517","N13110","LAX","18:30","18:48","390","372","18","19:14","26","0","0","0","0","0"
"UA","01/02/2022","0521","N14115","SFO","08:00","07:54","392","395","-6","08:17","23","0","0","0","0","0"
"UA","01/02/2022","0523","N19136","SFO","16:55","18:55","392","390","120","19:23","28","42","0","0","0","76"
"UA","01/03/2022","0515","N12114","LAX","08:30","08:24","390","357","-6","08:44","20","0","0","0","0","0"
"UA","01/03/2022","0517","","LAX","18:30","00:00","390","0","0","00:00","0","0","0","0","0","0"
"UA","01/03/2022","0521","N14115","SFO","08:00","07:52","392","404","-8","08:13","21","0","0","0","0","0"
"UA","01/03/2022","0523","N19130","SFO","16:55","16:50","392","387","-5","17:08","18","0","0","0","0","0"
"UA","01/04/2022","0515","N12114","LAX","08:30","08:26","390","372","-4","08:44","18","0","0","0","0","0"
"UA","01/04/2022","0517","N19130","LAX","18:15","18:36","390","378","21","18:53","17","0","0","0","0","0"
"UA","01/04/2022","0521","N17104","SFO","08:00","08:07","392","402","7","08:32","25","7","0","10","0","0"
"UA","01/04/2022","0523","","SFO","16:55","00:00","392","0","0","00:00","0","0","0","0","0","0"
"UA","01/05/2022","0515","N17104","LAX","08:30","08:24","390","361","-6","08:46","22","0","0","0","0","0"
"UA","01/05/2022","0517","N14106","LAX","18:15","18:14","390","365","-1","18:38","24","0","0","0","0","0"
"UA","01/05/2022","0521","N12114","SFO","08:00","07:51","392","386","-9","08:09","18","0","0","0","0","0"
"UA","01/05/2022","0523","N13110","SFO","16:55","16:54","392","387","-1","17:17","23","0","0","0","0","0"
"UA","01/06/2022","0515","N67134","LAX","08:30","08:24","390","374","-6","08:40","16","0","0","0","0","0"
"UA","01/06/2022","0517","N13110","LAX","18:15","18:12","390","363","-3","18:31","19","0","0","0","0","0"
"UA","01/06/2022","0521","N17104","SFO","08:00","07:52","392","362","-8","08:06","14","0","0","0","0","0"
"UA","01/06/2022","0523","N17122","SFO","16:55","16:54","392","386","-1","17:19","25","0","0","0","0","0"
"UA","01/07/2022","0515","N12114","LAX","08:30","09:32","390","417","62","10:47","75","0","62","27","0","0"
"UA","01/07/2022","0517","N34131","LAX","18:15","18:13","390","380","-2","18:44","31","0","0","0","0","0"
"UA","01/07/2022","0521","N67134","SFO","08:00","08:22","392","435","22","09:49","87","0","22","43","0","0"
"UA","01/07/2022","0523","N654UA","SFO","16:55","16:48","392","395","-7","17:20","32","0","0","0","0","0"
"UA","01/08/2022","0515","N12114","LAX","08:30","10:22","390","361","112","10:35","13","83","0","0","0","0"
"UA","01/08/2022","0517","N17105","LAX","18:15","18:09","390","381","-6","18:36","27","0","0","0","0","0"
"UA","01/08/2022","0521","N67134","SFO","08:00","07:54","392","403","-6","08:27","33","0","0","0","0","0"
"UA","01/08/2022","0523","N13138","SFO","16:55","13:10","392","403","1215","13:46","36","1215","0","11","0","0"
"UA","01/09/2022","0515","N67134","LAX","08:30","08:26","390","375","-4","08:45","19","0","0","0","0","0"
"UA","01/09/2022","0517","N19136","LAX","18:15","18:09","390","367","-6","18:34","25","0","0","0","0","0"
"UA","01/09/2022","0521","N12114","SFO","08:00","07:50","392","364","-10","08:05","15","0","0","0","0","0"
"UA","01/09/2022","0523","N17104","SFO","16:55","16:50","392","382","-5","17:11","21","0","0","0","0","0"
"UA","01/10/2022","0515","N13138","LAX","08:30","08:25","390","369","-5","08:51","26","0","0","0","0","0"
"UA","01/10/2022","0517","N19130","LAX","18:15","18:08","390","366","-7","18:35","27","0","0","0","0","0"
"UA","01/10/2022","0521","N67134","SFO","08:00","07:53","392","372","-7","08:11","18","0","0","0","0","0"
"UA","01/10/2022","0523","N14115","SFO","16:55","16:46","392","387","-9","17:15","29","0","0","0","0","0"
"UA","01/11/2022","0515","N13138","LAX","08:30","08:25","390","359","-5","08:48","23","0","0","0","0","0"
"UA","01/11/2022","0517","N12109","LAX","18:15","18:10","390","356","-5","18:30","20","0","0","0","0","0"
"UA","01/11/2022","0521","N67134","SFO","08:00","07:48","392","377","-12","08:05","17","0","0","0","0","0"
"UA","01/11/2022","0523","N58101","SFO","16:55","16:55","392","385","0","17:20","25","0","0","0","0","0"
"UA","01/12/2022","0515","N13138","LAX","08:30","08:26","390","371","-4","09:02","36","0","0","0","0","0"
"UA","01/12/2022","0517","N34137","LAX","18:15","18:15","390","360","0","18:43","28","0","0","0","0","0"
"UA","01/12/2022","0521","N12116","SFO","08:00","08:01","392","403","1","08:51","50","0","0","0","0","0"
"UA","01/12/2022","0523","N19136","SFO","16:55","16:47","392","367","-8","17:06","19","0","0","0","0","0"
"UA","01/13/2022","0515","N12116","LAX","08:30","08:26","390","377","-4","08:57","31","0","0","0","0","0"
"UA","01/13/2022","0517","N13110","LAX","18:15","18:17","390","360","2","18:35","18","0","0","0","0","0"
"UA","01/13/2022","0521","N13138","SFO","08:00","07:58","392","379","-2","08:20","22","0","0","0","0","0"
"UA","01/13/2022","0523","N19117","SFO","16:55","16:45","392","379","-10","17:00","15","0","0","0","0","0"
"UA","01/14/2022","0515","N19130","LAX","08:30","08:28","390","357","-2","08:44","16","0","0","0","0","0"
"UA","01/14/2022","0517","N17139","LAX","18:15","18:11","390","364","-4","18:33","22","0","0","0","0","0"
"UA","01/14/2022","0521","N12116","SFO","08:00","07:49","392","387","-11","08:11","22","0","0","0","0","0"
"UA","01/14/2022","0523","N17104","SFO","16:55","16:54","392","378","-1","17:19","25","0","0","0","0","0"
"UA","01/15/2022","0515","N19130","LAX","08:30","08:23","390","355","-7","08:45","22","0","0","0","0","0"
"UA","01/15/2022","0517","N14106","LAX","18:15","18:10","390","357","-5","18:40","30","0","0","0","0","0"
"UA","01/15/2022","0521","N12116","SFO","08:00","08:04","392","367","4","08:26","22","0","0","0","0","0"
"UA","01/15/2022","0523","N12114","SFO","16:55","16:50","392","370","-5","17:13","23","0","0","0","0","0"
"UA","01/16/2022","0515","N14102","LAX","08:30","08:23","390","372","-7","08:38","15","0","0","0","0","0"
"UA","01/16/2022","0517","N75851","LAX","18:15","22:41","390","384","266","23:33","52","0","0","0","0","260"
"UA","01/16/2022","0521","N17139","SFO","08:00","07:47","392","379","-13","08:10","23","0","0","0","0","0"
"UA","01/16/2022","0523","N34131","SFO","16:55","16:47","392","371","-8","17:09","22","0","0","0","0","0"
"UA","01/17/2022","0515","N14102","LAX","08:30","08:18","390","358","-12","08:38","20","0","0","0","0","0"
"UA","01/17/2022","0517","N34137","LAX","18:15","18:19","390","400","4","19:24","65","0","0","0","0","0"
"UA","01/17/2022","0521","N75853","SFO","08:00","07:52","392","355","-8","08:08","16","0","0","0","0","0"
"UA","01/17/2022","0523","N13138","SFO","16:55","16:47","392","377","-8","17:05","18","0","0","0","0","0"
"UA","01/18/2022","0515","N34131","LAX","08:30","08:20","390","374","-10","08:36","16","0","0","0","0","0"
"UA","01/18/2022","0517","N19117","LAX","18:15","18:13","390","372","-2","18:35","22","0","0","0","0","0"
"UA","01/18/2022","0521","N14102","SFO","08:00","07:51","392","381","-9","08:12","21","0","0","0","0","0"
"UA","01/18/2022","0523","N41135","SFO","16:55","16:46","392","380","-9","17:08","22","0","0","0","0","0"
"UA","01/19/2022","0515","N34131","LAX","08:30","08:21","390","358","-9","08:40","19","0","0","0","0","0"
"UA","01/19/2022","0517","N14102","LAX","18:15","18:04","390","367","-11","18:29","25","0","0","0","0","0"
"UA","01/19/2022","0521","N67134","SFO","08:00","07:50","392","367","-10","08:06","16","0","0","0","0","0"
"UA","01/19/2022","0523","N12109","SFO","16:55","16:42","392","373","-13","16:56","14","0","0","0","0","0"
"UA","01/20/2022","0515","N67134","LAX","08:30","08:29","390","0","-1","00:00","0","0","0","0","0","0"
"UA","01/20/2022","0517","N41140","LAX","18:15","18:24","390","381","9","18:52","28","0","0","0","0","0"
"UA","01/20/2022","0521","N34131","SFO","08:00","07:49","392","396","-11","08:02","13","0","0","0","0","0"
"UA","01/20/2022","0523","N58101","SFO","16:55","16:59","392","376","4","17:30","31","0","0","0","0","0"
"UA","01/21/2022","0515","N34131","LAX","08:30","08:19","390","351","-11","08:36","17","0","0","0","0","0"
"UA","01/21/2022","0517","N17105","LAX","18:15","18:10","390","379","-5","18:31","21","0","0","0","0","0"
"UA","01/21/2022","0521","N17104","SFO","08:00","07:58","392","376","-2","08:20","22","0","0","0","0","0"
