"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DYHF","DYTS","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","WindEquipmentChangeDate"
"74486094789","2021-11-01T00:51:00","FM-15","7",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.86","48","55","0.00",,"-0.04","3","77","29.85","CLR:00","29.83","10.00","51","250",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11311/01/21 00:51:02 METAR KJFK 010551Z 25009KT 10SM CLR 13/09 A2986 RMK AO2 SLP109 T01280089 10167 20128 53012 (JC)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2021-11-01T01:00:00","FM-12","4",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48","55",,,"-0.04","3","77","29.85",,"29.83","9.94","51","250",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08074486 32966 02509 10128 20089 30100 40109 53012 90551 333 10183 20128 555 90106=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2021-11-01T01:51:00","FM-15","7",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.86","48","55","0.00",,,,"77","29.86","CLR:00","29.83","10.00","51","260",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09511/01/21 01:51:02 METAR KJFK 010651Z 26009KT 10SM CLR 13/09 A2986 RMK AO2 SLP111 T01280089 (JC)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2021-11-01T02:51:00","FM-15","7",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.88","48","55","0.00",,,,"77","29.88","CLR:00","29.85","10.00","51","250",,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09511/01/21 02:51:02 METAR KJFK 010751Z 25013KT 10SM CLR 13/09 A2988 RMK AO2 SLP118 T01280089 (JC)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2021-11-01T03:51:00","FM-15","7",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.91","47","55","0.00",,"-0.05","3","74","29.91","CLR:00","29.88","10.00","51","260",,"14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10111/01/21 03:51:02 METAR KJFK 010851Z 26012KT 10SM CLR 13/08 A2991 RMK AO2 SLP127 T01280083 53017 (JC)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2021-11-01T04:00:00","FM-12","4",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47","55",,,"-0.05","3","74","29.91",,"29.88","9.94","51","260",,"14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN06474486 32966 02612 10128 20083 30117 40127 53017 90851 555 90109=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2021-11-01T04:51:00","FM-15","7",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.93","47","54","0.00",,,,"77","29.93","FEW:02 60","29.91","10.00","50","260",,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09811/01/21 04:51:02 METAR KJFK 010951Z 26014KT 10SM FEW060 12/08 A2993 RMK AO2 SLP134 T01220083 (JC)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2021-11-01T05:51:00","FM-15","7",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.95","46","54","0.00",,,,"75","29.94","FEW:02 60 FEW:02 250","29.93","10.00","50","270",,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10511/01/21 05:51:02 METAR KJFK 011051Z 27011KT 10SM FEW060 FEW250 12/08 A2995 RMK AO2 SLP140 T01220078 (BH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2021-11-01T06:51:00","FM-15","7",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.98","45","55","0.00",,"-0.07","3","69","29.98","SCT:04 60 SCT:04 250","29.96","10.00","50","280",,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12311/01/21 06:51:02 METAR KJFK 011151Z 28013KT 10SM SCT060 SCT250 13/07 A2998 RMK AO2 SLP152 T01280072 10128 20117 53025 (BH)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
"74486094789","2021-11-01T07:00:00","FM-12","4",,"ESE","1.5","mi","TEMP, PRECIP, SNOW",,,"PSY, SRG, SNOWBOARD",,,"FAA CWO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45","55",,,"-0.07","3","69","29.98","57","29.95","9.94","50","280",,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08074486 32766 42813 10128 20072 30141 40152 53025 91151 333 10189 20117 555 90112=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"2009-05-01"
