"tiles-wrapper src","tiles-wrapper","pull-left src","pull-left","col-xs-12"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Dunkin' Donuts Coffee","https://www.newarkairport.com/static/EWR/terminalImages/AirTrain_Rail_Link_Station.png","Near Amtrak Counter","Grab & Go, Coffee & Tea"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Abica Coffee","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A2 Rotunda","Grab & Go, Coffee & Tea, Children’s Menu"
"https://www.newarkairport.com/static/img/srs/Shop.svg","America!","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A Concourse","Gifts & Souvenirs, Fashion & Accessories"
"https://www.newarkairport.com/static/img/srs/Services-and-Amenities.svg","American Airlines Admirals Club","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A3 Concourse","Lounges"
"https://www.newarkairport.com/static/img/srs/Shop.svg","Auntie Anne's Pretzels","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A3 Satellite - Near Gate 37","Restaurants, Family Friendly, Children’s Menu"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Boars Head","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A3 Rotunda","Grab & Go"
"https://www.newarkairport.com/static/img/srs/Services-and-Amenities.svg","Charging Stations","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Throughout the Terminal","Charging Station"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Cheeburger Cheeburger","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A Food Court","Restaurants, Grab & Go"
"https://www.newarkairport.com/static/img/srs/Shop.svg","Creative Kid Stuff","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Near A3 Concourse Entrance","Family Friendly"
"https://www.newarkairport.com/static/img/srs/Shop.svg","Discover New Jersey","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Concourse  near A3","Gifts & Souvenirs"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Dunkin Donuts","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Headhouse","$2 Water"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Dunkin' Donuts","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Near A1 Concourse Entrance","Restaurants, Grab & Go, Coffee & Tea"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Earl of Sandwich","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A2 Rotunda","Restaurants, Grab & Go"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Earl of Sandwich","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A2 Satellite","$2 Water"
"https://www.newarkairport.com/static/img/srs/Shop.svg","EJE Duty Free (Temporarily Closed)","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A Concourse","Duty Free"
"https://www.newarkairport.com/static/img/srs/Shop.svg","EJE Duty Free Kiosk (Temporarily Closed)","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A2 Rotunda","Duty Free"
"https://www.newarkairport.com/static/img/srs/Food-and-Beverage.svg","Go Travel Market","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A3 Rotunda","Grab & Go"
"https://www.newarkairport.com/static/img/srs/Shop.svg","Hudson Booksellers","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","Near A2 Concourse Entrance","Travel Essentials, Gifts & Souvenirs, Books & Magazines"
"https://www.newarkairport.com/static/img/srs/Shop.svg","Hudson News","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A2 Rotunda","Travel Essentials, Gifts & Souvenirs, Books & Magazines"
"https://www.newarkairport.com/static/img/srs/Shop.svg","Hudson News","https://www.newarkairport.com/static/EWR/terminalImages/Terminal_A.png","A3 Rotunda","Travel Essentials, Gifts & Souvenirs, Family Friendly, Books & Magazines"
