"tiles-wrapper src","tiles-wrapper","pull-left src","pull-left","col-xs-12"
"https://www.laguardiaairport.com/static/img/srs/Services-and-Amenities.svg","Charging Stations","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_A.png","Departure Gates","Charging Station"
"https://www.laguardiaairport.com/static/img/srs/Food-and-Beverage.svg","Dunkin'","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_A.png","Departure Gates","Coffee & Tea"
"https://www.laguardiaairport.com/static/img/srs/Services-and-Amenities.svg","Mamava Nursing Pod","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_A.png","Near TSA office, Immediately past TSA Check point","Nursing Suites"
"https://www.laguardiaairport.com/static/img/srs/Food-and-Beverage.svg","MAT CEGM (Cibo 1)","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_A.png","A Gates","$2 Water"
"https://www.laguardiaairport.com/static/img/srs/Shop.svg","MetroCard Machines","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_A.png","Arrivals","Metro Card"
"https://www.laguardiaairport.com/static/img/srs/Services-and-Amenities.svg","Restrooms","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_A.png","(MAT) area, Level 1","Restrooms"
"https://www.laguardiaairport.com/static/img/srs/Services-and-Amenities.svg","Restrooms","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_A.png","Near Gate 6, Departures, Level 1","Restrooms"
"https://www.laguardiaairport.com/static/img/srs/Food-and-Beverage.svg","Salotto","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_A.png","Departure Gates","Restaurants, Grab & Go"
"https://www.laguardiaairport.com/static/img/srs/Services-and-Amenities.svg","Welcome Center","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_A.png","Arrivals","Airport Information"
"https://www.laguardiaairport.com/static/img/srs/Services-and-Amenities.svg","Bank of America ATM","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_B.png","Level 1, 2, 3","ATM"
"https://www.laguardiaairport.com/static/img/srs/Services-and-Amenities.svg","Bank of America ATM","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_B.png","Level 4, Pier D, Gates 40 - 59","ATM"
"https://www.laguardiaairport.com/static/img/srs/Food-and-Beverage.svg","Bar 212","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_B.png","Concourse B","$2 Water"
"https://www.laguardiaairport.com/static/img/srs/Food-and-Beverage.svg","Bar 212","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_B.png","Gates 40 - 59","Restaurants, Bar"
"https://www.laguardiaairport.com/static/img/srs/Food-and-Beverage.svg","Bar Veloce","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_B.png","Near Gate 24","Bar"
"https://www.laguardiaairport.com/static/img/srs/Beauty-and-Spa.svg","BeRelax","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_B.png","Near Food Court","Spa, Nail Care, Massage"
"https://www.laguardiaairport.com/static/img/srs/Services-and-Amenities.svg","Car Service and Parking","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_B.png","Terminal B Parking Garage, access on Level 2 and  4","Ground Transportation"
"https://www.laguardiaairport.com/static/img/srs/Services-and-Amenities.svg","Charging Stations","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_B.png","All Departure Gates","Charging Station"
"https://www.laguardiaairport.com/static/img/srs/Food-and-Beverage.svg","District Market","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_B.png","Concourse B","$2 Water"
"https://www.laguardiaairport.com/static/img/srs/Shop.svg","District Market","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_B.png","Gates 40 - 59","Travel Essentials, Grab & Go"
"https://www.laguardiaairport.com/static/img/srs/Food-and-Beverage.svg","Dos Toros","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_B.png","Headhouse","$2 Water"
"https://www.laguardiaairport.com/static/img/srs/Food-and-Beverage.svg","Dos Toros Taqueria","https://www.laguardiaairport.com/static/LGA/terminalImages/Terminal_B.png","Level 4","Restaurants, Grab & Go, Children’s Menu, Bar"
