airline_name,date,month,day,year,flight_number,destination_airport,scheduled_hour,scheduled_departure_time,scheduled_elapsed_time_minutes
American Airlines,2021-11-01,11,1,2021,0595,MIA,11,11:10,181
American Airlines,2021-11-01,11,1,2021,1176,DCA,08,08:30,88
American Airlines,2021-11-01,11,1,2021,1487,PHX,07,07:35,339
American Airlines,2021-11-01,11,1,2021,1610,MIA,08,08:00,191
American Airlines,2021-11-01,11,1,2021,2291,CLT,19,19:30,142
American Airlines,2021-11-01,11,1,2021,2338,CLT,13,13:00,127
American Airlines,2021-11-01,11,1,2021,2643,CLT,06,06:30,121
American Airlines,2021-11-01,11,1,2021,2819,ORD,08,08:20,170
Alaska Airlines,2021-11-01,11,1,2021,0007,SEA,07,07:30,383
American Airlines,2021-11-02,11,2,2021,1444,CLT,07,07:59,141
American Airlines,2021-11-02,11,2,2021,2643,CLT,06,06:00,132
JetBlue Airways,2021-11-06,11,6,2021,2516,SYR,21,21:40,74
Delta Air Lines,2021-11-06,11,6,2021,0522,SEA,07,07:35,365
American Airlines,2021-11-07,11,7,2021,2643,CLT,06,06:00,132
American Airlines,2021-11-08,11,8,2021,1875,FLL,06,06:50,187
American Airlines,2021-11-08,11,8,2021,2643,CLT,06,06:00,132
American Airlines,2021-11-10,11,10,2021,0595,MIA,11,11:05,190
American Airlines,2021-11-10,11,10,2021,2305,SFO,17,17:00,399
American Airlines,2021-11-10,11,10,2021,2369,PHX,06,06:30,354
American Airlines,2021-11-10,11,10,2021,2772,AUS,17,17:29,260
Alaska Airlines,2021-11-10,11,10,2021,0221,SEA,16,16:55,394
Delta Air Lines,2021-11-10,11,10,2021,1036,DFW,18,18:59,247
American Airlines,2021-11-11,11,11,2021,2836,LAS,20,20:30,356
Endeavor Air,2021-11-12,11,12,2021,5078,RDU,08,08:20,108
JetBlue Airways,2021-11-12,11,12,2021,0285,RDU,08,08:45,101
Republic Airways,2021-11-12,11,12,2021,4712,RIC,09,09:30,90
American Airlines,2021-11-13,11,13,2021,0488,CLT,14,14:59,140
American Airlines,2021-11-13,11,13,2021,0495,CLT,09,09:45,133
Republic Airways,2021-11-13,11,13,2021,4528,ORF,17,17:25,85
Republic Airways,2021-11-13,11,13,2021,4537,RIC,15,15:59,90
Republic Airways,2021-11-13,11,13,2021,4672,PHL,15,15:40,69
American Airlines,2021-11-15,11,15,2021,1228,MIA,09,09:55,195
JetBlue Airways,2021-11-15,11,15,2021,0089,SAN,17,17:00,370
American Airlines,2021-11-16,11,16,2021,1233,STT,09,09:25,235
Alaska Airlines,2021-11-16,11,16,2021,0007,SEA,07,07:30,380
American Airlines,2021-11-17,11,17,2021,2643,CLT,06,06:00,132
American Airlines,2021-11-17,11,17,2021,2813,AUS,07,07:59,263
Alaska Airlines,2021-11-18,11,18,2021,0007,SEA,07,07:30,380
Alaska Airlines,2021-11-18,11,18,2021,0342,SAN,16,16:50,365
JetBlue Airways,2021-11-18,11,18,2021,0669,SJC,18,18:30,393
JetBlue Airways,2021-11-21,11,21,2021,1701,FLL,21,21:50,181
American Airlines,2021-11-22,11,22,2021,1479,MIA,14,14:49,196
American Airlines,2021-11-25,11,25,2021,0495,CLT,09,09:45,133
American Airlines,2021-11-25,11,25,2021,2813,AUS,07,07:59,263
American Airlines,2021-11-25,11,25,2021,2819,ORD,07,07:40,173
American Airlines,2021-11-26,11,26,2021,2369,PHX,06,06:30,354
American Airlines,2021-11-26,11,26,2021,2813,AUS,07,07:59,263
American Airlines,2021-11-28,11,28,2021,0495,CLT,09,09:45,133
American Airlines,2021-11-29,11,29,2021,0076,SFO,07,07:00,398
American Airlines,2021-11-29,11,29,2021,0495,CLT,09,09:45,133
Alaska Airlines,2021-11-29,11,29,2021,0216,SEA,09,09:30,380
United Air Lines,2021-11-30,11,30,2021,0515,LAX,08,08:25,397
American Airlines,2021-12-01,12,1,2021,0429,SNA,16,16:29,383
American Airlines,2021-12-01,12,1,2021,2643,CLT,06,06:30,132
JetBlue Airways,2021-12-07,12,7,2021,0575,MSY,14,14:29,209
Delta Air Lines,2021-12-07,12,7,2021,1377,MSY,08,08:10,217
Delta Air Lines,2021-12-07,12,7,2021,1542,MSY,15,15:30,220
JetBlue Airways,2021-12-08,12,8,2021,0629,RSW,21,21:30,187
Republic Airways,2021-12-08,12,8,2021,5740,JAX,18,18:55,165
American Airlines,2021-12-09,12,9,2021,0302,LAX,17,17:29,391
JetBlue Airways,2021-12-09,12,9,2021,0459,BUR,08,08:59,380
Endeavor Air,2021-12-10,12,10,2021,4635,MSP,15,15:05,195
Endeavor Air,2021-12-10,12,10,2021,5124,MSP,19,19:40,197
JetBlue Airways,2021-12-10,12,10,2021,0329,RSW,06,06:20,188
JetBlue Airways,2021-12-10,12,10,2021,0617,MSP,19,19:29,193
Endeavor Air,2021-12-11,12,11,2021,4865,ROC,15,15:10,98
JetBlue Airways,2021-12-11,12,11,2021,0102,BUF,21,21:35,87
JetBlue Airways,2021-12-11,12,11,2021,0702,BUF,13,13:30,83
JetBlue Airways,2021-12-11,12,11,2021,2902,BUF,22,22:30,86
JetBlue Airways,2021-12-13,12,13,2021,0359,BUR,16,16:30,381
JetBlue Airways,2021-12-13,12,13,2021,0583,MCO,08,08:00,176
JetBlue Airways,2021-12-13,12,13,2021,0669,SJC,18,18:30,393
JetBlue Airways,2021-12-14,12,14,2021,0459,BUR,08,08:59,380
Endeavor Air,2021-12-15,12,15,2021,5422,ORD,19,19:30,179
JetBlue Airways,2021-12-15,12,15,2021,0669,SJC,18,18:30,393
Alaska Airlines,2021-12-16,12,16,2021,0393,SAN,16,16:35,363
Alaska Airlines,2021-12-16,12,16,2021,0657,SFO,18,18:35,418
American Airlines,2021-12-18,12,18,2021,2643,CLT,06,06:00,128
Delta Air Lines,2021-12-18,12,18,2021,1005,DFW,08,08:40,254
Republic Airways,2021-12-18,12,18,2021,5609,CMH,10,10:20,108
Delta Air Lines,2021-12-20,12,20,2021,0311,SFO,16,16:48,411
JetBlue Airways,2021-12-21,12,21,2021,0161,SMF,18,18:51,400
JetBlue Airways,2021-12-21,12,21,2021,0677,JAX,08,08:00,163
JetBlue Airways,2021-12-22,12,22,2021,0081,RNO,19,19:05,380
JetBlue Airways,2021-12-22,12,22,2021,0839,BQN,23,23:59,219
American Airlines,2021-12-23,12,23,2021,0429,SNA,16,16:20,383
Alaska Airlines,2021-12-23,12,23,2021,0769,SFO,13,13:00,408
JetBlue Airways,2021-12-23,12,23,2021,0081,RNO,19,19:05,380
JetBlue Airways,2021-12-23,12,23,2021,0161,SMF,18,18:51,400
JetBlue Airways,2021-12-23,12,23,2021,0355,ONT,17,17:59,382
JetBlue Airways,2021-12-23,12,23,2021,0359,BUR,15,15:50,397
JetBlue Airways,2021-12-23,12,23,2021,0669,SJC,09,09:12,409
JetBlue Airways,2021-12-23,12,23,2021,0776,ORH,10,10:34,55
American Airlines,2021-12-24,12,24,2021,0495,CLT,09,09:29,130
American Airlines,2021-12-24,12,24,2021,1553,EGE,11,11:00,292
JetBlue Airways,2021-12-24,12,24,2021,0125,TPA,16,16:50,190
JetBlue Airways,2021-12-24,12,24,2021,0161,SMF,18,18:51,400
JetBlue Airways,2021-12-24,12,24,2021,0439,BQN,05,05:35,225
JetBlue Airways,2021-12-24,12,24,2021,0553,PBI,20,20:00,189
JetBlue Airways,2021-12-24,12,24,2021,0676,ORH,22,22:30,58
JetBlue Airways,2021-12-24,12,24,2021,0839,BQN,23,23:59,219
JetBlue Airways,2021-12-24,12,24,2021,1701,FLL,21,21:50,187
JetBlue Airways,2021-12-24,12,24,2021,2029,RSW,09,09:45,201
Delta Air Lines,2021-12-24,12,24,2021,0350,SAN,08,08:30,386
Delta Air Lines,2021-12-24,12,24,2021,0351,LAX,10,10:30,380
Delta Air Lines,2021-12-24,12,24,2021,0354,SLC,07,07:00,327
Delta Air Lines,2021-12-24,12,24,2021,0359,SLC,16,16:38,330
Delta Air Lines,2021-12-24,12,24,2021,0384,SLC,11,11:00,323
Delta Air Lines,2021-12-24,12,24,2021,0442,SFO,11,11:00,404
Delta Air Lines,2021-12-24,12,24,2021,0795,PHX,07,07:00,347
Delta Air Lines,2021-12-24,12,24,2021,1272,FLL,07,07:10,192
Delta Air Lines,2021-12-24,12,24,2021,1660,MCO,15,15:27,188
American Airlines,2021-12-25,12,25,2021,0688,MIA,13,13:30,188
American Airlines,2021-12-25,12,25,2021,1553,EGE,11,11:00,292
American Airlines,2021-12-25,12,25,2021,1610,MIA,07,07:59,194
American Airlines,2021-12-25,12,25,2021,2643,CLT,06,06:00,128
Alaska Airlines,2021-12-25,12,25,2021,0769,SFO,13,13:00,408
JetBlue Airways,2021-12-25,12,25,2021,0201,FLL,08,08:55,198
JetBlue Airways,2021-12-25,12,25,2021,0355,ONT,18,18:30,390
JetBlue Airways,2021-12-25,12,25,2021,0359,BUR,15,15:50,397
JetBlue Airways,2021-12-25,12,25,2021,0425,TPA,07,07:53,191
JetBlue Airways,2021-12-25,12,25,2021,0453,PBI,09,09:20,186
JetBlue Airways,2021-12-25,12,25,2021,0518,BOS,06,06:59,69
JetBlue Airways,2021-12-25,12,25,2021,0669,SJC,09,09:12,409
JetBlue Airways,2021-12-25,12,25,2021,0723,LAX,08,08:00,391
JetBlue Airways,2021-12-25,12,25,2021,0753,PBI,21,21:57,177
JetBlue Airways,2021-12-25,12,25,2021,0803,SJU,13,13:45,235
JetBlue Airways,2021-12-25,12,25,2021,1083,MCO,09,09:30,188
JetBlue Airways,2021-12-25,12,25,2021,1201,FLL,14,14:30,196
JetBlue Airways,2021-12-25,12,25,2021,1483,MCO,13,13:00,178
JetBlue Airways,2021-12-25,12,25,2021,2193,MIA,18,18:30,200
Delta Air Lines,2021-12-25,12,25,2021,0350,SAN,08,08:30,386
Delta Air Lines,2021-12-25,12,25,2021,0351,LAX,10,10:30,380
Delta Air Lines,2021-12-25,12,25,2021,0424,ATL,06,06:10,157
Delta Air Lines,2021-12-25,12,25,2021,0442,SFO,11,11:00,404
Delta Air Lines,2021-12-25,12,25,2021,0452,SEA,16,16:45,379
Delta Air Lines,2021-12-25,12,25,2021,0522,SEA,07,07:10,390
Delta Air Lines,2021-12-25,12,25,2021,0543,LAX,08,08:40,384
Delta Air Lines,2021-12-25,12,25,2021,0795,PHX,07,07:00,347
Delta Air Lines,2021-12-25,12,25,2021,1406,TPA,14,14:59,187
United Air Lines,2021-12-25,12,25,2021,0517,LAX,18,18:30,390
United Air Lines,2021-12-25,12,25,2021,0521,SFO,08,08:00,392
American Airlines,2021-12-26,12,26,2021,0493,CLT,12,12:00,125
American Airlines,2021-12-26,12,26,2021,1444,CLT,08,08:05,146
American Airlines,2021-12-26,12,26,2021,1553,EGE,11,11:00,292
American Airlines,2021-12-26,12,26,2021,2369,PHX,06,06:30,360
American Airlines,2021-12-26,12,26,2021,2813,AUS,08,08:00,261
Alaska Airlines,2021-12-26,12,26,2021,0007,SEA,07,07:30,389
Alaska Airlines,2021-12-26,12,26,2021,0657,SFO,18,18:35,418
Alaska Airlines,2021-12-26,12,26,2021,1063,SEA,11,11:30,385
JetBlue Airways,2021-12-26,12,26,2021,0001,FLL,05,05:43,187
JetBlue Airways,2021-12-26,12,26,2021,0015,SFO,08,08:00,413
JetBlue Airways,2021-12-26,12,26,2021,0053,PBI,08,08:01,190
JetBlue Airways,2021-12-26,12,26,2021,0081,RNO,19,19:05,380
JetBlue Airways,2021-12-26,12,26,2021,0105,ORD,20,20:30,171
JetBlue Airways,2021-12-26,12,26,2021,0161,SMF,18,18:51,400
JetBlue Airways,2021-12-26,12,26,2021,0225,TPA,06,06:00,182
JetBlue Airways,2021-12-26,12,26,2021,0263,SEA,16,16:35,388
JetBlue Airways,2021-12-26,12,26,2021,0355,ONT,17,17:59,382
JetBlue Airways,2021-12-26,12,26,2021,0383,MCO,14,14:16,182
