year,month,day,temperature,humidity,windspeed,covid_case,airline_name,cancel_count,year_month,Total_number_of_cancellation
2021,11,1,56,53,29,780,American Airlines,9,2021-Jan,216
2021,11,1,56,53,29,780,Alaska Airlines,9,2021-Jan,166
2021,11,2,50,62,23,806,American Airlines,2,2021-Jan,216
2021,11,6,46,62,13,508,JetBlue Airways,2,2021-Jan,263
2021,11,6,46,62,13,508,Delta Air Lines,2,2021-Jan,234
2021,11,7,46,61,19,542,American Airlines,1,2021-Jan,216
2021,11,8,55,53,22,1135,American Airlines,2,2021-Jan,216
2021,11,10,57,54,30,1049,American Airlines,6,2021-Jan,216
2021,11,10,57,54,30,1049,Alaska Airlines,6,2021-Jan,166
2021,11,10,57,54,30,1049,Delta Air Lines,6,2021-Jan,234
2021,11,11,50,71,35,875,American Airlines,1,2021-Jan,216
2021,11,12,58,80,40,1028,Endeavor Air,3,2021-Jan,13
2021,11,12,58,80,40,1028,JetBlue Airways,3,2021-Jan,263
2021,11,12,58,80,40,1028,Republic Airways,3,2021-Jan,13
2021,11,13,52,72,51,614,American Airlines,5,2021-Jan,216
2021,11,13,52,72,51,614,Republic Airways,5,2021-Jan,13
2021,11,15,45,68,42,1263,American Airlines,2,2021-Jan,216
2021,11,15,45,68,42,1263,JetBlue Airways,2,2021-Jan,263
2021,11,16,44,54,31,1272,American Airlines,2,2021-Jan,216
2021,11,16,44,54,31,1272,Alaska Airlines,2,2021-Jan,166
2021,11,17,45,73,24,1329,American Airlines,2,2021-Jan,216
2021,11,18,56,81,38,1310,Alaska Airlines,3,2021-Jan,166
2021,11,18,56,81,38,1310,JetBlue Airways,3,2021-Jan,263
2021,11,21,50,73,22,840,JetBlue Airways,1,2021-Jan,263
2021,11,22,46,66,33,1528,American Airlines,1,2021-Jan,216
2021,11,25,44,57,17,531,American Airlines,3,2021-Jan,216
2021,11,26,43,69,44,1171,American Airlines,2,2021-Jan,216
2021,11,28,38,76,19,1060,American Airlines,1,2021-Jan,216
2021,11,29,39,57,29,2328,American Airlines,3,2021-Jan,216
2021,11,29,39,57,29,2328,Alaska Airlines,3,2021-Jan,166
2021,11,30,37,62,25,2006,United Air Lines,1,2021-Jan,172
2021,12,1,45,54,21,2180,American Airlines,2,2021-Jan,216
2021,12,7,41,47,41,2922,JetBlue Airways,3,2021-Jan,263
2021,12,7,41,47,41,2922,Delta Air Lines,3,2021-Jan,234
2021,12,8,38,70,23,3136,JetBlue Airways,2,2021-Jan,263
2021,12,8,38,70,23,3136,Republic Airways,2,2021-Jan,13
2021,12,9,36,52,32,3022,American Airlines,2,2021-Jan,216
2021,12,9,36,52,32,3022,JetBlue Airways,2,2021-Jan,263
2021,12,10,44,65,18,3089,Endeavor Air,4,2021-Jan,13
2021,12,10,44,65,18,3089,JetBlue Airways,4,2021-Jan,263
2021,12,11,52,94,36,2159,Endeavor Air,4,2021-Jan,13
2021,12,11,52,94,36,2159,JetBlue Airways,4,2021-Jan,263
2021,12,13,46,42,27,7529,JetBlue Airways,3,2021-Jan,263
2021,12,14,46,41,25,10875,JetBlue Airways,1,2021-Jan,263
2021,12,15,44,68,28,13167,Endeavor Air,2,2021-Jan,13
2021,12,15,44,68,28,13167,JetBlue Airways,2,2021-Jan,263
2021,12,16,56,78,25,13866,Alaska Airlines,2,2021-Jan,166
2021,12,18,44,81,19,9949,American Airlines,3,2021-Jan,216
2021,12,18,44,81,19,9949,Delta Air Lines,3,2021-Jan,234
2021,12,18,44,81,19,9949,Republic Airways,3,2021-Jan,13
2021,12,20,30,52,25,27953,Delta Air Lines,1,2021-Jan,234
2021,12,21,37,63,22,30410,JetBlue Airways,2,2021-Jan,263
2021,12,22,42,62,38,31401,JetBlue Airways,2,2021-Jan,263
2021,12,23,34,47,33,31819,American Airlines,8,2021-Jan,216
2021,12,23,34,47,33,31819,Alaska Airlines,8,2021-Jan,166
2021,12,23,34,47,33,31819,JetBlue Airways,8,2021-Jan,263
2021,12,24,36,81,16,17475,American Airlines,19,2021-Jan,216
2021,12,24,36,81,16,17475,JetBlue Airways,19,2021-Jan,263
2021,12,24,36,81,16,17475,Delta Air Lines,19,2021-Jan,234
2021,12,25,43,90,20,7796,American Airlines,30,2021-Jan,216
2021,12,25,43,90,20,7796,Alaska Airlines,30,2021-Jan,166
2021,12,25,43,90,20,7796,JetBlue Airways,30,2021-Jan,263
2021,12,25,43,90,20,7796,Delta Air Lines,30,2021-Jan,234
2021,12,25,43,90,20,7796,United Air Lines,30,2021-Jan,172
2021,12,26,46,55,39,22990,American Airlines,35,2021-Jan,216
2021,12,26,46,55,39,22990,Alaska Airlines,35,2021-Jan,166
2021,12,26,46,55,39,22990,JetBlue Airways,35,2021-Jan,263
2021,12,26,46,55,39,22990,Delta Air Lines,35,2021-Jan,234
2021,12,26,46,55,39,22990,United Air Lines,35,2021-Jan,172
2021,12,27,36,66,24,51244,American Airlines,27,2021-Jan,216
2021,12,27,36,66,24,51244,Alaska Airlines,27,2021-Jan,166
2021,12,27,36,66,24,51244,JetBlue Airways,27,2021-Jan,263
2021,12,27,36,66,24,51244,Delta Air Lines,27,2021-Jan,234
2021,12,27,36,66,24,51244,United Air Lines,27,2021-Jan,172
2021,12,28,42,76,20,49686,American Airlines,19,2021-Jan,216
2021,12,28,42,76,20,49686,Alaska Airlines,19,2021-Jan,166
2021,12,28,42,76,20,49686,JetBlue Airways,19,2021-Jan,263
2021,12,28,42,76,20,49686,Delta Air Lines,19,2021-Jan,234
2021,12,28,42,76,20,49686,United Air Lines,19,2021-Jan,172
2021,12,29,43,93,15,50503,Alaska Airlines,22,2021-Jan,166
2021,12,29,43,93,15,50503,JetBlue Airways,22,2021-Jan,263
2021,12,29,43,93,15,50503,Delta Air Lines,22,2021-Jan,234
2021,12,29,43,93,15,50503,United Air Lines,22,2021-Jan,172
2021,12,30,47,92,13,47450,JetBlue Airways,38,2021-Jan,263
2021,12,30,47,92,13,47450,Delta Air Lines,38,2021-Jan,234
2021,12,30,47,92,13,47450,United Air Lines,38,2021-Jan,172
2021,12,31,49,95,16,29135,American Airlines,29,2021-Jan,216
2021,12,31,49,95,16,29135,JetBlue Airways,29,2021-Jan,263
2021,12,31,49,95,16,29135,Delta Air Lines,29,2021-Jan,234
2022,1,1,51,99,18,12063,Endeavor Air,39,2022-Jan,1058
2022,1,1,51,99,18,12063,American Airlines,39,2022-Jan,1047
2022,1,1,51,99,18,12063,Alaska Airlines,39,2022-Jan,977
2022,1,1,51,99,18,12063,JetBlue Airways,39,2022-Jan,1121
2022,1,1,51,99,18,12063,Delta Air Lines,39,2022-Jan,1039
2022,1,1,51,99,18,12063,United Air Lines,39,2022-Jan,672
2022,1,1,51,99,18,12063,Republic Airways,39,2022-Jan,1047
