carrier_code,date,month,day,year,flight_number,tail_number,destination_airport,airline_name
AA,2021-11-01T04:00:00Z,11,1,2021,0595,NA,MIA,American Airlines
AA,2021-11-01T04:00:00Z,11,1,2021,1176,N944AN,DCA,American Airlines
AA,2021-11-01T04:00:00Z,11,1,2021,1487,N314PD,PHX,American Airlines
AA,2021-11-01T04:00:00Z,11,1,2021,1610,N863NN,MIA,American Airlines
AA,2021-11-01T04:00:00Z,11,1,2021,2291,N847NN,CLT,American Airlines
AA,2021-11-01T04:00:00Z,11,1,2021,2338,N975AN,CLT,American Airlines
AA,2021-11-01T04:00:00Z,11,1,2021,2643,N960NN,CLT,American Airlines
AA,2021-11-01T04:00:00Z,11,1,2021,2819,N962NN,ORD,American Airlines
AS,2021-11-01T04:00:00Z,11,1,2021,0007,N930VA,SEA,Alaska Airlines
AA,2021-11-02T04:00:00Z,11,2,2021,1444,N561UW,CLT,American Airlines
AA,2021-11-02T04:00:00Z,11,2,2021,2643,N968AN,CLT,American Airlines
B6,2021-11-06T04:00:00Z,11,6,2021,2516,N273JB,SYR,JetBlue Airways
AA,2021-11-07T04:00:00Z,11,7,2021,2643,N953NN,CLT,American Airlines
AA,2021-11-08T05:00:00Z,11,8,2021,1875,N923NN,FLL,American Airlines
AA,2021-11-08T05:00:00Z,11,8,2021,2643,N987AN,CLT,American Airlines
AA,2021-11-10T05:00:00Z,11,10,2021,0595,N726AN,MIA,American Airlines
AA,2021-11-10T05:00:00Z,11,10,2021,2305,N104NN,SFO,American Airlines
AA,2021-11-10T05:00:00Z,11,10,2021,2369,N969AN,PHX,American Airlines
AS,2021-11-10T05:00:00Z,11,10,2021,0221,N928VA,SEA,Alaska Airlines
AA,2021-11-11T05:00:00Z,11,11,2021,2836,N991NN,LAS,American Airlines
9E,2021-11-12T05:00:00Z,11,12,2021,5078,N910XJ,RDU,Endeavor Air
B6,2021-11-12T05:00:00Z,11,12,2021,0285,N279JB,RDU,JetBlue Airways
YX,2021-11-12T05:00:00Z,11,12,2021,4712,N413YX,RIC,Republic Airways
AA,2021-11-13T05:00:00Z,11,13,2021,0488,N872NN,CLT,American Airlines
AA,2021-11-13T05:00:00Z,11,13,2021,0495,N995NN,CLT,American Airlines
YX,2021-11-13T05:00:00Z,11,13,2021,4528,N117HQ,ORF,Republic Airways
YX,2021-11-13T05:00:00Z,11,13,2021,4537,N452YX,RIC,Republic Airways
YX,2021-11-13T05:00:00Z,11,13,2021,4672,N133HQ,PHL,Republic Airways
AA,2021-11-15T05:00:00Z,11,15,2021,1228,N303RE,MIA,American Airlines
AA,2021-11-16T05:00:00Z,11,16,2021,1233,N9018E,STT,American Airlines
AS,2021-11-16T05:00:00Z,11,16,2021,0007,N922VA,SEA,Alaska Airlines
