date,year,month,day,case_count
2021-11-01,2021,11,1,780
2021-11-02,2021,11,2,806
2021-11-03,2021,11,3,825
2021-11-04,2021,11,4,906
2021-11-05,2021,11,5,769
2021-11-06,2021,11,6,508
2021-11-07,2021,11,7,542
2021-11-08,2021,11,8,1135
2021-11-09,2021,11,9,1037
2021-11-10,2021,11,10,1049
2021-11-11,2021,11,11,875
2021-11-12,2021,11,12,1028
2021-11-13,2021,11,13,614
2021-11-14,2021,11,14,687
2021-11-15,2021,11,15,1263
2021-11-16,2021,11,16,1272
2021-11-17,2021,11,17,1329
2021-11-18,2021,11,18,1310
2021-11-19,2021,11,19,1184
2021-11-20,2021,11,20,827
2021-11-21,2021,11,21,840
2021-11-22,2021,11,22,1528
2021-11-23,2021,11,23,1381
2021-11-24,2021,11,24,1416
2021-11-25,2021,11,25,531
2021-11-26,2021,11,26,1171
2021-11-27,2021,11,27,972
2021-11-28,2021,11,28,1060
2021-11-29,2021,11,29,2328
2021-11-30,2021,11,30,2006
2021-12-01,2021,12,1,2180
2021-12-02,2021,12,2,2109
2021-12-03,2021,12,3,1893
2021-12-04,2021,12,4,1321
2021-12-05,2021,12,5,1403
2021-12-06,2021,12,6,2798
2021-12-07,2021,12,7,2922
2021-12-08,2021,12,8,3136
2021-12-09,2021,12,9,3022
2021-12-10,2021,12,10,3089
2021-12-11,2021,12,11,2159
2021-12-12,2021,12,12,2795
2021-12-13,2021,12,13,7529
2021-12-14,2021,12,14,10875
2021-12-15,2021,12,15,13167
2021-12-16,2021,12,16,13866
2021-12-17,2021,12,17,13548
2021-12-18,2021,12,18,9949
2021-12-19,2021,12,19,10557
2021-12-20,2021,12,20,27953
2021-12-21,2021,12,21,30410
2021-12-22,2021,12,22,31401
2021-12-23,2021,12,23,31822
2021-12-24,2021,12,24,17475
2021-12-25,2021,12,25,7796
2021-12-26,2021,12,26,22991
2021-12-27,2021,12,27,51247
2021-12-28,2021,12,28,49688
2021-12-29,2021,12,29,50506
2021-12-30,2021,12,30,47451
2021-12-31,2021,12,31,29136
2022-01-01,2022,1,1,12063
2022-01-02,2022,1,2,32514
2022-01-03,2022,1,3,54958
2022-01-04,2022,1,4,49209
2022-01-05,2022,1,5,40241
2022-01-06,2022,1,6,36371
2022-01-07,2022,1,7,23206
2022-01-08,2022,1,8,16192
2022-01-09,2022,1,9,14352
2022-01-10,2022,1,10,25033
2022-01-11,2022,1,11,18537
2022-01-12,2022,1,12,18441
2022-01-13,2022,1,13,16096
2022-01-14,2022,1,14,13290
2022-01-15,2022,1,15,6759
2022-01-16,2022,1,16,6893
2022-01-17,2022,1,17,9828
2022-01-18,2022,1,18,10921
2022-01-19,2022,1,19,9030
2022-01-20,2022,1,20,7043
2022-01-21,2022,1,21,5797
2022-01-22,2022,1,22,3632
2022-01-23,2022,1,23,3397
2022-01-24,2022,1,24,6017
2022-01-25,2022,1,25,4763
2022-01-26,2022,1,26,4199
2022-01-27,2022,1,27,3634
2022-01-28,2022,1,28,2725
2022-01-29,2022,1,29,512
2022-01-30,2022,1,30,1425
2022-01-31,2022,1,31,3112
