date,year,month,day,daily_average_dew_point_temperature,daily_average_dry_bulb_temperature,daily_average_relative_humidity,daily_average_sea_level_pressure,daily_average_station_pressure,daily_average_wet_bulb_temperature,daily_average_wind_speed,daily_cooling_degree_days,daily_departure_from_normal_average_temperature,daily_heating_degree_days,daily_maximum_dry_bulb_temperature,daily_minimum_dry_bulb_temperature,daily_peak_wind_direction,daily_peak_wind_speed,daily_precipitation,daily_snow_depth,daily_snowfall,daily_sustained_wind_direction,daily_sustained_wind_speed,daily_weather
2021/11/1,2021,11,1,38,56,53,30.05,29.98,48,12.2,0,3.8,9,62,50,310,29,0,0,0,290,23,NA
2021/11/2,2021,11,2,37,50,62,30.2,30.17,44,8.5,0,-1.9,15,56,44,240,23,0.01,0,0,240,20,RA
2021/11/3,2021,11,3,29,48,51,30.25,30.21,40,9.9,0,-3.7,17,56,40,320,24,0,0,0,330,20,NA
2021/11/4,2021,11,4,28,46,53,30.32,30.3,38,6.4,0,-5.4,19,53,38,340,14,0,0,0,360,12,NA
2021/11/5,2021,11,5,29,45,54,30.35,30.3,39,8.3,0,-6.1,20,53,37,350,26,0,0,0,20,18,NA
2021/11/6,2021,11,6,32,46,62,30.38,30.37,39,5.4,0,-4.8,19,55,36,30,13,0,0,0,130,10,NA
2021/11/7,2021,11,7,33,46,61,30.18,30.17,41,6.1,0,-4.5,19,55,37,360,19,0,0,0,350,14,NA
2021/11/8,2021,11,8,37,55,53,30.12,30.09,46,7.8,0,4.8,10,66,43,10,22,0,0,0,20,18,NA
2021/11/9,2021,11,9,46,56,70,30.08,30.06,51,5.4,0,6.1,9,69,43,230,15,0,0,0,230,14,NA
2021/11/10,2021,11,10,40,57,54,30.09,30.07,49,9.2,0,7.4,8,67,46,320,30,0,0,0,330,25,NA
2021/11/11,2021,11,11,43,50,71,30.27,30.25,48,10.3,0,0.7,15,62,38,130,35,T,0,0,120,25,NA
2021/11/12,2021,11,12,53,58,80,29.96,29.96,57,15.4,0,9,7,66,50,160,40,0.21,0,0,180,31,RA BR
2021/11/13,2021,11,13,40,52,72,29.81,29.78,45,13.8,0,3.3,13,64,39,270,51,0.14,0,T,270,40,TS GR RA BR
2021/11/14,2021,11,14,33,44,65,29.9,29.88,39,13.4,0,-4.4,21,48,39,230,30,0.02,0,0,220,25,RA
2021/11/15,2021,11,15,33,45,68,29.85,29.8,39,15.5,0,-3.1,20,50,39,260,42,T,0,0,270,31,NA
2021/11/16,2021,11,16,28,44,54,30.14,30.09,37,12.6,0,-3.7,21,50,37,290,31,0,0,0,280,23,NA
2021/11/17,2021,11,17,39,45,73,30.26,30.24,44,8.1,0,-2.4,20,57,33,170,24,0,0,0,160,20,NA
2021/11/18,2021,11,18,51,56,81,30.01,30,53,12.2,0,8.9,9,64,48,310,38,0.06,0,0,300,30,RA
2021/11/19,2021,11,19,26,45,48,30.25,30.17,38,17.4,0,-1.8,20,50,39,320,37,0.06,0,0,330,31,RA
2021/11/20,2021,11,20,28,41,58,30.51,30.48,36,7.9,0,-5.5,24,48,33,230,22,0,0,0,330,20,NA
2021/11/21,2021,11,21,41,50,73,30.23,30.25,46,8.7,0,3.9,15,56,43,200,22,T,0,0,200,17,RA
2021/11/22,2021,11,22,36,46,66,29.88,29.85,43,15.2,0,0.2,19,55,36,340,33,0.04,0,0,330,26,RA
2021/11/23,2021,11,23,17,38,45,30.03,29.98,30,18.2,0,-7.5,27,44,32,310,36,0,0,0,310,30,NA
2021/11/24,2021,11,24,19,38,46,30.29,30.26,32,12.2,0,-7.1,27,46,30,320,29,0,0,0,320,24,NA
